ref.date,dlsp_fx_internal_indexed,dlsp_fx_external_methodological,dlsp_external_other_adjustments
2022-06-01,725.0675439500001,-125296.66931431,19299.687169189998
2022-07-01,-101.43159915999996,12902.970622599998,-20314.21042923
2022-08-01,-17.09352580000001,2559.4087623600003,33881.18217491
2022-09-01,336.22003861999985,-53133.202139479996,46210.98534422001
2022-10-01,-224.46439399999997,34503.10946609999,7966.71944868
2022-11-01,34.08496967999998,-8559.9984733,-27415.197352499996
2022-12-01,-65.63396634000003,17645.657841139997,-8587.932344820001
2023-01-01,-124.40924409999992,27647.946699580003,-25126.667931360003
2023-02-01,123.74731319999995,-25372.483124989994,27564.966587519997
2023-03-01,-102.49448430000018,31254.670702970005,-36255.20284935999
2023-04-01,-64.16026572999998,19570.426420300002,-8081.28827867
2023-05-01,63.02352207,-23364.278145340002,14886.520401279997
2023-06-01,-174.7268905599999,67994.3052777,6230.059115480001
2023-07-01,-18.229992019999983,19191.57229525,-4777.540711219999
2023-08-01,40.42376780999996,-44612.37137866001,6856.516528020001
2023-09-01,-6.832965480000041,-20835.34029906,19869.485752319997
2023-10-01,-5.878284829999984,-12096.21306138,1620.8261683399996
2023-11-01,21.10586147999993,29391.280866210007,-36030.61990496999
2023-12-01,49.708299839999995,23708.537967940003,-30399.005659300004
2024-01-01,-66.90559222000002,-28373.8361596,3531.2699789900003
2024-02-01,-13.304007249999984,-7430.636326859999,13205.67890721
2024-03-01,-9.2531307,-3245.3955380800007,-10651.928467279997
2024-04-01,-258.87247611999976,-43950.42428523999,18123.5559432
2024-05-01,-314.4769207000001,-17733.46417549,-17745.54459673
2024-06-01,-1485.1291830199998,-79951.05136860999,-12100.76216299
2024-07-01,-493.59611723,-26821.79797191,-25042.35999989
2024-08-01,7.51592763,956.27071558,-27881.449614760004
2024-09-01,1060.04391509,55258.25055029999,-19438.174620769994
2024-10-01,-1714.5577861799995,-87244.5596306,31410.010139759994
2024-11-01,-1453.9906931799997,-71509.81185204,-5309.62578323
2024-12-01,-742.3308325400001,-32863.79086525,14488.54378939
2025-01-01,1989.6168588099997,82577.22386945998,-14340.71555477
2025-02-01,-102.92381849999998,-4434.70193577,-18623.201263289997
2025-03-01,593.48455289,24644.671776619998,-14868.911529379999
2025-04-01,451.01854420000006,19684.992267949998,-25765.878792350002
2025-05-01,-262.96287107,-11490.89332547,-2137.66524716
2025-06-01,1431.1054027000002,60521.71247047998,-18915.156310989998
2025-07-01,-876.7765116500001,-35103.06082168,9676.346864700003
2025-08-01,1026.8117475,42734.67812515001,-21783.48849869
2025-09-01,461.3412165100001,26906.170966840004,-12048.772148069998
