dropped,block,sample,n_series,xi_mp,f_robust_mp,impact_mp,ar_bounded
asset_ifix,acoes,full,110,6.265109502979571,9.859594476626551,8.263657899744142e-5,TRUE
asset_ifnc,acoes,full,110,6.4638755839526505,10.695022632369378,8.516074776132307e-5,TRUE
asset_imat,acoes,full,110,6.4021112740602995,10.255774654554429,8.41146358887409e-5,TRUE
asset_imob,acoes,full,110,6.391145233820195,10.583395526397338,8.686224601466006e-5,TRUE
asset_smll,acoes,full,110,6.4056367824218325,10.613060104696835,8.697862256924576e-5,TRUE
embi_perc,risco_externo,full,110,6.215307842955983,9.921280519542117,8.299872419751995e-5,TRUE
cds_5y,risco_externo,full,110,6.247656635430196,10.023015517674903,8.433108068395023e-5,TRUE
msci,risco_externo,full,110,6.128480232717273,9.71981295079789,8.309317464515611e-5,TRUE
sp500_vix,risco_externo,full,110,6.354030581718247,10.462592286003224,8.245253028378448e-5,TRUE
epu_brazil,epu,full,110,6.298417413784134,10.070813450534645,8.312257663155972e-5,TRUE
epu_canada,epu,full,110,6.295394022204583,10.136934159470488,8.452765728309347e-5,TRUE
epu_chile,epu,full,110,6.384454645507944,10.39987339041004,8.424398817598051e-5,TRUE
epu_china,epu,full,110,6.3913641295819215,10.34548609070264,8.437937148193622e-5,TRUE
epu_germany,epu,full,110,6.342188788992502,10.269059408171628,8.44422088846328e-5,TRUE
epu_india,epu,full,110,6.289687095730248,10.190507967222704,8.455599860245716e-5,TRUE
epu_russia,epu,full,110,6.302708303926911,10.264264249308113,8.464144849563213e-5,TRUE
epu_us,epu,full,110,6.4234102728580424,10.256586099588997,8.279270239978569e-5,TRUE
fiscal_dbgg,fiscal,full,110,6.077595444751095,9.462064457841453,8.616576993248719e-5,TRUE
fiscal_dlsp,fiscal,full,110,6.691703960579385,11.260501423147973,9.026438631621696e-5,TRUE
fiscal_primary_balance,fiscal,full,110,6.290448823823487,10.138389210049146,8.404159846533004e-5,TRUE
expect_focus_ipca12m,expectativas,full,110,6.741779009743992,11.92038437541377,8.533533035529863e-5,TRUE
expect_focus_selic_ny,expectativas,full,110,5.9172890211162334,9.322775346338666,7.735561442057053e-5,TRUE
expect_focus_pib_ny,expectativas,full,110,5.796240002343624,9.035847489235538,8.126491085370721e-5,TRUE
expect_focus_cambio_ny,expectativas,full,110,6.476145176797463,10.561588035788224,8.434757322692777e-5,TRUE
cambio_eur,cambio,pre_covid,110,11.27061240319293,9.161353787437552,7.392512555144195e-5,TRUE
cambio_cny,cambio,pre_covid,110,11.227806628104199,9.761656192829172,7.424698614932535e-5,TRUE
cambio_ars,cambio,pre_covid,110,10.754029877789774,7.806335888527593,7.864657811799478e-5,TRUE
cambio_inr,cambio,pre_covid,110,11.552914493677719,9.9830521973181,7.64700200310571e-5,TRUE
cambio_usd,cambio,pre_covid,110,11.53614018946228,9.780914037250962,7.555466249557255e-5,TRUE
juros_selic,politica,pre_covid,110,8.830475463226172,7.18458183794925,6.377632230561999e-5,TRUE
yield_3m,curva,pre_covid,110,7.196914965311234,5.745898890889747,5.67808056915751e-5,TRUE
yield_1y,curva,pre_covid,110,7.6325934621032,5.979936354306572,5.64731852780288e-5,TRUE
yield_2y,curva,pre_covid,110,9.865926566501095,7.795726046415363,6.746060613538226e-5,TRUE
yield_5y,curva,pre_covid,110,11.56650522478181,10.31935091946249,8.225613742846811e-5,TRUE
yield_10y,curva,pre_covid,110,11.308137503637736,10.1416423429616,8.203957052899422e-5,TRUE
base_monetary_base,monetario,pre_covid,110,8.974805904237403,7.038490445501161,6.384685232475102e-5,TRUE
base_money_supply,monetario,pre_covid,110,10.679886078832542,10.470100831720362,8.962568073510039e-5,TRUE
base_demand_deposit,monetario,pre_covid,110,9.577543565677605,9.039449321633963,8.863110701087604e-5,TRUE
base_savings_deposit,monetario,pre_covid,110,9.083198570442006,8.448891172934513,9.09115737333928e-5,TRUE
base_m1,monetario,pre_covid,110,9.603809988397284,9.388971604838911,9.281661566583275e-5,TRUE
base_m2,monetario,pre_covid,110,11.441810508659248,9.725838916132524,8.177584509795805e-5,TRUE
base_m3,monetario,pre_covid,110,11.030602707360517,9.385447054927718,7.694184379354213e-5,TRUE
credito_agro,credito,pre_covid,110,11.425844316734713,9.379604107263868,7.790455641775999e-5,TRUE
credito_industria_total,credito,pre_covid,110,10.146108373724411,8.334314739439016,6.99162488792868e-5,TRUE
credito_construcao,credito,pre_covid,110,9.577174960975555,7.881724458626186,7.133890773243875e-5,TRUE
credito_comercio,credito,pre_covid,110,12.370550653499297,9.500471548926033,7.500379742296566e-5,TRUE
credito_transporte,credito,pre_covid,110,11.55835232388156,11.1820808212362,8.773344804084268e-5,TRUE
credito_pessoa_fisica,credito,pre_covid,110,7.6918928734843215,6.326449299751555,7.587171624664708e-5,TRUE
spread_icc_juridica,credito,pre_covid,110,9.806609345172623,9.69488142643518,9.434665756732592e-5,TRUE
spread_icc_fisica,credito,pre_covid,110,10.246873472575565,9.509168224476877,8.372223297454511e-5,TRUE
credit_outstanding,credito,pre_covid,110,11.05043204238882,10.271165453469548,8.295904261066431e-5,TRUE
fin_inst_reserve_req,credito,pre_covid,110,9.811755633541608,9.864200560547587,9.121020047583688e-5,TRUE
consumo_gasolina,combustiveis,pre_covid,110,9.942942845881756,8.057055977957685,7.065701207586262e-5,TRUE
consumo_glp,combustiveis,pre_covid,110,10.676095691262331,9.36500058136774,7.862773577429328e-5,TRUE
consumo_oleo_combustivel,combustiveis,pre_covid,110,10.878382310019619,9.71501606859758,8.192381335167501e-5,TRUE
consumo_oleo_diesel,combustiveis,pre_covid,110,10.428162267063254,9.243601260242652,8.018978083877556e-5,TRUE
consumo_demais_derivados,combustiveis,pre_covid,110,10.456625936621355,9.958020412472825,8.726942333373727e-5,TRUE
consumo_alcool,combustiveis,pre_covid,110,11.476455722516826,10.130747544169715,8.133644263465302e-5,TRUE
capacidade_instalada_industria,industria,pre_covid,110,10.244643480789097,9.578623322407978,8.529834535452702e-5,TRUE
vendas_varejo,vendas,pre_covid,110,10.520686063437397,8.844795421555533,7.439580567757118e-5,TRUE
vendas_servicos,vendas,pre_covid,110,10.275917011565431,10.174211150148532,8.961966103265717e-5,TRUE
ind_automoveis,industria,pre_covid,110,11.762403515937903,10.745573342848934,8.503973210880421e-5,TRUE
ind_leves,industria,pre_covid,110,8.481099634524835,6.931382045841316,6.233388179798968e-5,TRUE
ind_caminhoes,industria,pre_covid,110,8.010980243177663,6.362248988098028,6.503149958420583e-5,TRUE
ind_onibus,industria,pre_covid,110,9.44419773721647,7.627377599499972,6.544310557588444e-5,TRUE
ind_bens_consumo,industria,pre_covid,110,10.181327893545783,9.62544068023979,8.593481378303755e-5,TRUE
ind_bens_duraveis,industria,pre_covid,110,10.825779994123518,10.006279243519938,8.200174353215746e-5,TRUE
ind_bens_nao_duraveis,industria,pre_covid,110,10.044091915535665,9.399000319347177,8.534710675896345e-5,TRUE
ind_bens_capital,industria,pre_covid,110,10.512958482740178,9.642221853878977,8.34955566028819e-5,TRUE
ind_transformacao,industria,pre_covid,110,10.076433181041393,9.83756502913885,9.013871799600767e-5,TRUE
ind_min_extr,industria,pre_covid,110,10.877804072148972,9.8953670101307,8.242559639958251e-5,TRUE
ind_uti_cap_instalada,industria,pre_covid,110,10.759242162801048,9.601582639083116,8.01105049515482e-5,TRUE
energia_comercial,energia,pre_covid,110,11.879507770334026,9.872432688798483,7.816635184562495e-5,TRUE
energia_residencial,energia,pre_covid,110,10.692754946336118,9.692562619434234,8.2117919044454e-5,TRUE
energia_industrial,energia,pre_covid,110,9.392862685467142,7.294442351162,6.363089164656813e-5,TRUE
energia_outros,energia,pre_covid,110,11.527577720280668,10.33377474823044,8.255227527042542e-5,TRUE
pib,atividade_agregada,pre_covid,110,7.828206679619277,6.590087087414915,6.137876122791475e-5,TRUE
ibc_br,atividade_agregada,pre_covid,110,11.05665266288207,10.091126813702578,8.325979735286476e-5,TRUE
icc,confianca,pre_covid,110,11.923713772564717,11.555631773355138,9.163403901856417e-5,TRUE
ics,confianca,pre_covid,110,9.586566676898356,9.530892168714704,9.187898170376029e-5,TRUE
trab_employment_southest,trabalho,pre_covid,110,11.040359877935618,9.155885270212176,7.661753450350781e-5,TRUE
trab_employment_south,trabalho,pre_covid,110,10.821152504349119,9.991435921416592,8.376090316764172e-5,TRUE
trab_employment_northeast,trabalho,pre_covid,110,11.171309367340218,9.705698154369474,8.08644153276004e-5,TRUE
trab_employment_north,trabalho,pre_covid,110,11.243688789765148,9.636304645339168,7.861857172055421e-5,TRUE
trab_employment_central_west,trabalho,pre_covid,110,11.078393539641958,9.893659873513032,8.311559431006235e-5,TRUE
trab_min_wage,trabalho,pre_covid,110,10.493949523729594,7.864600924271611,7.098879835924531e-5,TRUE
trab_pop_forca_trab,trabalho,pre_covid,110,9.945378884116018,9.928984791002616,9.287354080352869e-5,TRUE
trab_pop_ocupada,trabalho,pre_covid,110,10.66574910614356,9.433443632706066,7.564007992719094e-5,TRUE
trab_tx_desemprego,trabalho,pre_covid,110,8.8392773977579715,8.388581117112844,7.95626301671742e-5,TRUE
trab_hrs_trabalhadas_industria,trabalho,pre_covid,110,11.262152498022557,10.362044752695372,8.463856811411615e-5,TRUE
