sample,r,q,p,variable,h,point,lo68,hi68,lo90,hi90,sig68,sig90
pre_covid,5,4,6,yield_5y,21,-0.004597295455649326,-0.006392884966469415,0.002178098670672764,-0.011237358153791326,0.007373255885920686,FALSE,FALSE
pre_covid,5,4,6,yield_5y,22,-0.004532507830603322,-0.0063168545708479785,0.0018091432106788984,-0.0109186074024466,0.006917923290680138,FALSE,FALSE
pre_covid,5,4,6,yield_5y,23,-0.004436883806332475,-0.006308219973888382,0.0016747218179198596,-0.010876119486351877,0.007514882659951955,FALSE,FALSE
pre_covid,5,4,6,yield_5y,24,-0.004255802080795166,-0.006352410143114352,0.0014569240332372039,-0.010715119986640417,0.0075928554944395,FALSE,FALSE
pre_covid,5,4,6,yield_5y,25,-0.004095131633802846,-0.006237000006229138,0.001171883868073522,-0.010869871249940355,0.007310764318371856,FALSE,FALSE
pre_covid,5,4,6,yield_5y,26,-0.003985389943828585,-0.006378675488893025,0.0010478336620900002,-0.01057903764022927,0.007764403524657955,FALSE,FALSE
pre_covid,5,4,6,yield_5y,27,-0.0038770066293497742,-0.006473103769157138,9.983963068115893e-4,-0.010516368638287829,0.007415453050279376,FALSE,FALSE
pre_covid,5,4,6,yield_5y,28,-0.0037778128702415383,-0.0065270847334141565,6.687269997788649e-4,-0.010808439563057715,0.006967902856611356,FALSE,FALSE
pre_covid,5,4,6,yield_5y,29,-0.003681085836450732,-0.006710438201850464,5.030154745347502e-4,-0.010878113909512448,0.007007596869012045,FALSE,FALSE
pre_covid,5,4,6,yield_5y,30,-0.003563144912471464,-0.006754798097582715,4.7257130763350924e-4,-0.011555683487698866,0.006802432614897359,FALSE,FALSE
pre_covid,5,4,6,yield_5y,31,-0.003399782254980586,-0.006784674524412982,4.4343031878883623e-4,-0.011658605576814978,0.006759608842685506,FALSE,FALSE
pre_covid,5,4,6,yield_5y,32,-0.003192401287926357,-0.006849238498229374,5.339120989883869e-4,-0.011719980520554273,0.006856556460358159,FALSE,FALSE
pre_covid,5,4,6,yield_5y,33,-0.0029510864451862367,-0.007169793013768539,7.577114843933989e-4,-0.011843188307360487,0.006536511891336886,FALSE,FALSE
pre_covid,5,4,6,yield_5y,34,-0.002665347108428491,-0.00708353008572464,8.629393477069564e-4,-0.011705116522166143,0.0068610824388533635,FALSE,FALSE
pre_covid,5,4,6,yield_5y,35,-0.0023488230134535767,-0.006959758425268392,0.0011326353894682293,-0.011749769001988805,0.006980232304017954,FALSE,FALSE
pre_covid,5,4,6,yield_5y,36,-0.002017674809204313,-0.006809885657800753,0.001505038293308328,-0.011671914641410043,0.0068477812920947215,FALSE,FALSE
