sample,r,q,p,variable,h,point,lo68,hi68,lo90,hi90,sig68,sig90
full,5,4,6,yield_6m,44,-0.003968189993565245,-0.013351192976344586,0.0023283007739904726,-0.023997384499199064,0.00897523318136091,FALSE,FALSE
full,5,4,6,yield_6m,45,-0.004529230835579839,-0.013812196417812415,0.0017566256386412553,-0.02400692975968524,0.007851071909401435,FALSE,FALSE
full,5,4,6,yield_6m,46,-0.0050338003167333,-0.01381726173714108,0.001351691837901838,-0.024230266000984078,0.007607685334487873,FALSE,FALSE
full,5,4,6,yield_6m,47,-0.005480605165305521,-0.013829653007184273,0.0010152249869825646,-0.024414338097710715,0.006491926494923414,FALSE,FALSE
full,5,4,6,yield_6m,48,-0.0058688051402736455,-0.013845872256750031,6.793830243759412e-4,-0.025206831653688,0.005898837545342281,FALSE,FALSE
full,5,4,6,yield_2y,0,0.011409985878999003,0.00887965492519665,0.014059699288735693,0.007763397458670381,0.018293508081133857,TRUE,TRUE
full,5,4,6,yield_2y,1,0.013003142930857574,0.00940274622153545,0.01584192190769771,0.008014000399266783,0.021474541780907058,TRUE,TRUE
full,5,4,6,yield_2y,2,0.011414645708796326,0.007302788313237499,0.013569249491927237,0.0051556902000412675,0.017668225339042953,TRUE,TRUE
full,5,4,6,yield_2y,3,0.012313699617179168,0.007254453494702361,0.014266816950693175,0.004918565869300181,0.018555598342255942,TRUE,TRUE
full,5,4,6,yield_2y,4,0.012834448217351673,0.006387266116451357,0.01473309016107908,0.003433041401541979,0.018903757113678005,TRUE,TRUE
full,5,4,6,yield_2y,5,0.01324220574164461,0.0061336650290520324,0.015152284733836958,0.002390092687632547,0.018884408465842495,TRUE,TRUE
full,5,4,6,yield_2y,6,0.014533101377243656,0.007246560197798227,0.016997308197404776,0.003488530827364433,0.02084591477373884,TRUE,TRUE
full,5,4,6,yield_2y,7,0.014784402232530167,0.007007900908378629,0.017842873892562724,0.0028501397198046324,0.02219775977488955,TRUE,TRUE
full,5,4,6,yield_2y,8,0.014061023472471132,0.006005835192695019,0.018040909690615534,0.0016905630337851012,0.023009461385480677,TRUE,TRUE
full,5,4,6,yield_2y,9,0.014098881088751593,0.005973565099741888,0.018737542855814332,0.0014200794591460366,0.023823212081976575,TRUE,TRUE
full,5,4,6,yield_2y,10,0.014330695752431564,0.005263507688700982,0.01946507504469677,9.752613315388908e-4,0.02472956678234862,TRUE,TRUE
full,5,4,6,yield_2y,11,0.014803985197571515,0.005279376999098723,0.020280134332067802,3.654641694725308e-4,0.02648721948754097,TRUE,TRUE
full,5,4,6,yield_2y,12,0.015258730612701195,0.005565967688436639,0.02108916273951572,7.115087554060034e-4,0.02799105236623411,TRUE,TRUE
full,5,4,6,yield_2y,13,0.01519346829861062,0.005429991468052127,0.021643437344417215,-1.4559458776672902e-5,0.028817997956528757,TRUE,FALSE
full,5,4,6,yield_2y,14,0.015007162081387443,0.005132277250681997,0.02195037845751068,-2.774308953717134e-4,0.03004278114330273,TRUE,FALSE
full,5,4,6,yield_2y,15,0.015013757056473592,0.005160802822969612,0.021973491057104774,-0.001020162970757762,0.03065429569002795,TRUE,FALSE
full,5,4,6,yield_2y,16,0.014923077588211594,0.004885446956500718,0.021888546855983126,-0.0016104300551817135,0.03081734045177614,TRUE,FALSE
full,5,4,6,yield_2y,17,0.0146827283448894,0.004532085687374615,0.022050744967566604,-0.002206691534088959,0.031092922221232975,TRUE,FALSE
full,5,4,6,yield_2y,18,0.014433158985372377,0.0038695679694757054,0.021887031924902784,-0.002525606553491119,0.030887374830416793,TRUE,FALSE
full,5,4,6,yield_2y,19,0.014008861612992241,0.0032500370361596125,0.021793620678656776,-0.0036573180664075454,0.030581405057860212,TRUE,FALSE
full,5,4,6,yield_2y,20,0.013443687265843465,0.0026305010212486135,0.021107299176031602,-0.00399803006536387,0.030566711578678324,TRUE,FALSE
full,5,4,6,yield_2y,21,0.012893515058504055,0.0020971256903121183,0.0205027699792968,-0.004616722373407515,0.030697120413584696,TRUE,FALSE
full,5,4,6,yield_2y,22,0.012280030291154485,0.001327291274835306,0.019630687430822222,-0.00536261468873895,0.030386282475830886,TRUE,FALSE
full,5,4,6,yield_2y,23,0.01156108721314303,7.295355761965694e-4,0.01877075018320598,-0.006124959329830819,0.029196729100578404,TRUE,FALSE
full,5,4,6,yield_2y,24,0.010787027040237108,-1.6684441432628642e-4,0.01788481538382186,-0.0074950100712614905,0.027899265437091682,FALSE,FALSE
full,5,4,6,yield_2y,25,0.009956553248304688,-8.789288902761572e-4,0.016982659895215756,-0.008508123628401273,0.027246369015960416,FALSE,FALSE
full,5,4,6,yield_2y,26,0.009084580500077894,-0.0018130295539743528,0.016058373461516128,-0.009911377755697367,0.026158298817892237,FALSE,FALSE
full,5,4,6,yield_2y,27,0.008196516398388034,-0.002586920811342367,0.015283620910583714,-0.011055729506595955,0.02484885604016754,FALSE,FALSE
full,5,4,6,yield_2y,28,0.007280645983393941,-0.0033987460707865613,0.014575533236827079,-0.012520252603706605,0.023069534100694452,FALSE,FALSE
