ident,var,h,point,lo68,hi68,lo90,hi90
GMR nao-gaussiano,yield_2y,40,7.954342334276146e-4,-0.012678499973925283,0.01072071258551569,-0.03990137493974478,0.036168904690180484
GMR nao-gaussiano,yield_2y,41,6.796647864455956e-4,-0.012805394517531382,0.010430107810501993,-0.039598662247827585,0.03667385337682538
GMR nao-gaussiano,yield_2y,42,5.810233844325798e-4,-0.012826798351302793,0.010284448120759637,-0.040954965145194706,0.03676042570309275
GMR nao-gaussiano,yield_2y,43,4.979739756428038e-4,-0.012395843842728065,0.009352244615913193,-0.039593948377114024,0.03616035523616785
GMR nao-gaussiano,yield_2y,44,4.291376341803375e-4,-0.012894756344367953,0.008905514018468392,-0.038295645979806364,0.03599711200819671
GMR nao-gaussiano,yield_2y,45,3.7306408309608214e-4,-0.012275895248223772,0.008210166367943585,-0.03667322330004529,0.03567347441173227
GMR nao-gaussiano,yield_2y,46,3.2843012961408834e-4,-0.011453878199747134,0.007706662675725935,-0.03763576366992048,0.03517120097632836
GMR nao-gaussiano,yield_2y,47,2.9393185774150135e-4,-0.011481619552915958,0.0075699351567003696,-0.037421702245057746,0.03302589717085592
GMR nao-gaussiano,yield_2y,48,2.681833156376721e-4,-0.011264455208366837,0.006990485009201718,-0.03525775311806977,0.03171743168405027
GMR nao-gaussiano,yield_5y,0,0.006228011092050432,2.4925502052882456e-4,0.012176345681416498,-0.016092553064811062,0.02994008291532768
GMR nao-gaussiano,yield_5y,1,0.006733008211411752,-1.2361127941572234e-4,0.012186783158554607,-0.016844470452977194,0.028288193622439502
GMR nao-gaussiano,yield_5y,2,0.006575672285379231,6.996764712515149e-4,0.01135526052125884,-0.011438598617311222,0.023662288843895277
GMR nao-gaussiano,yield_5y,3,0.008887926574546231,0.0035674637124892845,0.015266477387217904,-0.007591610413076586,0.02676703940028851
GMR nao-gaussiano,yield_5y,4,0.009327830439939908,0.0032579998061876402,0.015323457273526974,-0.007555448388608432,0.02580330942936341
GMR nao-gaussiano,yield_5y,5,0.01008005775691684,0.002998478557168745,0.01641870653134621,-0.009694349305816734,0.029377470285706697
