subset,cond,hwin,n,sign_agree,coverage90,median_ratio,iqr_lo,iqr_hi
coherence_53,proxy_sig68_only,h25_48,267,0.2958801498127341,1,-0.05768800725569551,-0.09826440144431495,0.06545315009771228
coherence_53,proxy_sig68_only,all,574,0.6167247386759582,1,0.3306344868928961,-0.07164446800420082,1.605677575373858
production_panel,incondicional,h0,111,0.5405405405405406,1,0.3110106785228397,-1.0198747565704984,0.9931240070821582
production_panel,incondicional,h0_6,777,0.6898326898326899,1,0.8508305660041191,-0.5924445624799598,1.5318530537088744
production_panel,incondicional,h0_12,1443,0.7144837144837145,1,1.0895379021659322,-0.30202659740333093,1.9505417345925689
production_panel,incondicional,h13_24,1332,0.5848348348348348,1,0.3140121791548391,-0.799241807336144,1.708409118877242
production_panel,incondicional,h25_48,2664,0.34384384384384387,1,-0.09521332273827125,-0.29830147075558733,0.1107992557930843
production_panel,incondicional,all,5439,0.501195072623644,1,0.002186837137333731,-0.3621457113791159,1.0958570226360598
production_panel,proxy_sig90,h0,47,0.7446808510638298,1,0.8110260034206667,-0.01127451223873667,0.9652126440446118
production_panel,proxy_sig90,h0_6,236,0.9449152542372882,1,0.8765073840412955,0.5593304298764202,1.119294551639245
production_panel,proxy_sig90,h0_12,308,0.9577922077922078,1,1.0071116569618828,0.6854727080998192,1.3465404216824588
production_panel,proxy_sig90,h13_24,41,1,1,0.5548589200842116,0.38994842981031774,0.6277905455042101
production_panel,proxy_sig90,h25_48,2,1,1,0.4101821144376506,0.380509805943436,0.4398544229318653
production_panel,proxy_sig90,all,351,0.9629629629629629,1,0.9335196698088182,0.5789816888109867,1.2917305358637832
production_panel,proxy_sig68_only,h0,26,0.38461538461538464,1,-0.5554933125143275,-1.1238199542487712,0.7442095195148913
production_panel,proxy_sig68_only,h0_6,131,0.549618320610687,1,0.18397987849506556,-0.6413531823417837,1.047254692368354
production_panel,proxy_sig68_only,h0_12,275,0.7745454545454545,1,1.1651938215402537,0.10636793346806497,1.8300713136828932
production_panel,proxy_sig68_only,h13_24,354,0.9576271186440678,1,0.9599867506201127,0.38200507898825115,1.6312498883808537
production_panel,proxy_sig68_only,h25_48,378,0.4576719576719577,1,-0.01837595459905873,-0.0874429866563542,0.3706916923599066
production_panel,proxy_sig68_only,all,1007,0.7199602780536246,1,0.5075202881336527,-0.029607620182458154,1.3094121722482868
