cell_id,cell,reference_cell,comparison,var,h,point,reference_point,difference_vs_reference
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,ibc_br,31,-0.02162619533170161,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,price_ipca,31,-0.022304889016807914,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,yield_6m,31,2.672701411588136e-4,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cambio_usd,31,-0.03495996248503292,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cds_5y,31,-0.7390434034455147,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,ibc_br,32,-0.0228088675096879,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,price_ipca,32,-0.021681710672966606,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,yield_6m,32,-1.0689292251729468e-6,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cambio_usd,32,-0.033350053640150305,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cds_5y,32,-1.0342839660820085,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,ibc_br,33,-0.02398284421407072,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,price_ipca,33,-0.02094519338946887,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,yield_6m,33,-2.5181208315264066e-4,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cambio_usd,33,-0.031599845707756695,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cds_5y,33,-1.2998873589916677,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,ibc_br,34,-0.025125247345582736,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,price_ipca,34,-0.02010868419287935,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,yield_6m,34,-4.844230956954831e-4,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cambio_usd,34,-0.029732426613192392,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cds_5y,34,-1.536269999167393,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,ibc_br,35,-0.026216063415693963,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,price_ipca,35,-0.019185244182708644,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,yield_6m,35,-6.985271996278343e-4,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cambio_usd,35,-0.027769971733376562,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cds_5y,35,-1.7440007810542726,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,ibc_br,36,-0.027238000738826307,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,price_ipca,36,-0.01818758486512051,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,yield_6m,36,-8.939024498263751e-4,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cambio_usd,36,-0.025733668570686333,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cds_5y,36,-1.9237887197180648,NA,NA
p2_common,"VAR(2), amostra comum de 147 resíduos",p2_canonical,efeito de retirar os quatro primeiros resíduos,ibc_br,0,-0.5293217419340571,-0.697745811684083,0.16842406975002588
p2_common,"VAR(2), amostra comum de 147 resíduos",p2_canonical,efeito de retirar os quatro primeiros resíduos,price_ipca,0,-0.021770640019378097,-0.018708014846702533,-0.003062625172675564
p2_common,"VAR(2), amostra comum de 147 resíduos",p2_canonical,efeito de retirar os quatro primeiros resíduos,yield_6m,0,0.005,0.005,0
p2_common,"VAR(2), amostra comum de 147 resíduos",p2_canonical,efeito de retirar os quatro primeiros resíduos,cambio_usd,0,0.07385066727034836,0.08050771084479456,-0.0066570435744462
p2_common,"VAR(2), amostra comum de 147 resíduos",p2_canonical,efeito de retirar os quatro primeiros resíduos,cds_5y,0,15.079590684412734,18.85849674935322,-3.778906064940484
p2_common,"VAR(2), amostra comum de 147 resíduos",p2_canonical,efeito de retirar os quatro primeiros resíduos,ibc_br,1,-0.252294399458986,-0.4784496978367283,0.2261552983777423
p2_common,"VAR(2), amostra comum de 147 resíduos",p2_canonical,efeito de retirar os quatro primeiros resíduos,price_ipca,1,0.0336420094821823,0.02556118094441765,0.00808082853776465
p2_common,"VAR(2), amostra comum de 147 resíduos",p2_canonical,efeito de retirar os quatro primeiros resíduos,yield_6m,1,0.0064693816337407836,0.006330424985722701,1.3895664801808275e-4
p2_common,"VAR(2), amostra comum de 147 resíduos",p2_canonical,efeito de retirar os quatro primeiros resíduos,cambio_usd,1,0.10223543572163696,0.11870501836484194,-0.016469582643204986
p2_common,"VAR(2), amostra comum de 147 resíduos",p2_canonical,efeito de retirar os quatro primeiros resíduos,cds_5y,1,17.794677317896795,21.96556072481784,-4.170883406921046
p2_common,"VAR(2), amostra comum de 147 resíduos",p2_canonical,efeito de retirar os quatro primeiros resíduos,ibc_br,2,-0.07904575224034009,-0.32955401601671275,0.25050826377637264
p2_common,"VAR(2), amostra comum de 147 resíduos",p2_canonical,efeito de retirar os quatro primeiros resíduos,price_ipca,2,0.05416787643149354,0.047565559424075116,0.006602317007418423
