panel,sample,n_months,n_series,r,criterion,value
exchange_112,pre_covid,84,112,1,IC1,-0.07179035226489004
exchange_112,pre_covid,84,112,1,IC2,-0.060158722099508455
exchange_112,pre_covid,84,112,1,IC3,-0.09961265609769238
exchange_112,pre_covid,84,112,2,IC1,-0.11063932765353082
exchange_112,pre_covid,84,112,2,IC2,-0.08737606732276765
exchange_112,pre_covid,84,112,2,IC3,-0.1662839353191355
exchange_112,pre_covid,84,112,3,IC1,-0.11298888271598215
exchange_112,pre_covid,84,112,3,IC2,-0.07809399221983737
exchange_112,pre_covid,84,112,3,IC3,-0.19645579421438908
exchange_112,pre_covid,84,112,4,IC1,-0.10704807279273498
exchange_112,pre_covid,84,112,4,IC2,-0.060521552131208634
exchange_112,pre_covid,84,112,4,IC3,-0.2183372881239443
exchange_112,pre_covid,84,112,5,IC1,-0.09953190841061421
exchange_112,pre_covid,84,112,5,IC2,-0.04137375758370626
exchange_112,pre_covid,84,112,5,IC3,-0.23864342757462587
exchange_112,pre_covid,84,112,6,IC1,-0.09655359930817214
exchange_112,pre_covid,84,112,6,IC2,-0.026763818315882593
exchange_112,pre_covid,84,112,6,IC3,-0.263487422304986
exchange_112,pre_covid,84,112,7,IC1,-0.07961576387607727
exchange_112,pre_covid,84,112,7,IC2,0.0018056472815938251
exchange_112,pre_covid,84,112,7,IC3,-0.27437189070569346
exchange_112,pre_covid,84,112,8,IC1,-0.05802089788320752
exchange_112,pre_covid,84,112,8,IC2,0.035032143439845176
exchange_112,pre_covid,84,112,8,IC3,-0.28059932854562614
exchange_112,pre_covid,84,112,9,IC1,-0.03708871060165053
exchange_112,pre_covid,84,112,9,IC2,0.06759596088678388
exchange_112,pre_covid,84,112,9,IC3,-0.28748944509687147
exchange_112,pre_covid,84,112,10,IC1,-0.01675737631466423
exchange_112,pre_covid,84,112,10,IC2,0.09955892533915167
exchange_112,pre_covid,84,112,10,IC3,-0.29498041464268754
exchange_112,pre_covid,84,112,11,IC1,0.004397100330036485
exchange_112,pre_covid,84,112,11,IC2,0.132345032149234
exchange_112,pre_covid,84,112,11,IC3,-0.3016482418307891
exchange_112,pre_covid,84,112,12,IC1,0.02631360101545399
exchange_112,pre_covid,84,112,12,IC2,0.1658931630000331
exchange_112,pre_covid,84,112,12,IC3,-0.30755404497817374
exchange_112,pre_covid,84,112,13,IC1,0.049559340561660115
exchange_112,pre_covid,84,112,13,IC2,0.20077053271162093
exchange_112,pre_covid,84,112,13,IC3,-0.31213060926477
exchange_112,pre_covid,84,112,14,IC1,0.07423135794497981
exchange_112,pre_covid,84,112,14,IC2,0.237074180260322
exchange_112,pre_covid,84,112,14,IC3,-0.31528089571425255
exchange_112,pre_covid,84,112,15,IC1,0.09766226530861011
exchange_112,pre_covid,84,112,15,IC2,0.2721367177893339
exchange_112,pre_covid,84,112,15,IC3,-0.31967229218342474
exchange_112,pre_covid,84,112,16,IC1,0.12403462933132103
exchange_112,pre_covid,84,112,16,IC2,0.31014071197742643
exchange_112,pre_covid,84,112,16,IC3,-0.3211222319935162
exchange_112,pre_covid,84,112,17,IC1,0.14916072671762692
exchange_112,pre_covid,84,112,17,IC2,0.3468984395291139
exchange_112,pre_covid,84,112,17,IC3,-0.3238184384400127
exchange_112,pre_covid,84,112,18,IC1,0.17201597561084858
exchange_112,pre_covid,84,112,18,IC2,0.3813853185877174
exchange_112,pre_covid,84,112,18,IC3,-0.3287854933795933
exchange_112,pre_covid,84,112,19,IC1,0.19501436389121674
exchange_112,pre_covid,84,112,19,IC2,0.41601533703346694
exchange_112,pre_covid,84,112,19,IC3,-0.3336094089320276
exchange_112,pre_covid,84,112,20,IC1,0.21800575322486315
exchange_112,pre_covid,84,112,20,IC2,0.45063835653249495
exchange_112,pre_covid,84,112,20,IC3,-0.33844032343118347
expectations_114,full,153,114,1,IC1,-0.10216563339833877
expectations_114,full,153,114,1,IC2,-0.093575040162488
expectations_114,full,153,114,1,IC3,-0.12473424048087282
expectations_114,full,153,114,2,IC1,-0.1635865414280058
expectations_114,full,153,114,2,IC2,-0.14640535495630425
expectations_114,full,153,114,2,IC3,-0.2087237555930739
expectations_114,full,153,114,3,IC1,-0.19863427868328212
expectations_114,full,153,114,3,IC2,-0.17286249897572978
expectations_114,full,153,114,3,IC3,-0.26634009993088426
expectations_114,full,153,114,4,IC1,-0.21172717909429228
expectations_114,full,153,114,4,IC2,-0.17736480615088918
expectations_114,full,153,114,4,IC3,-0.3020016074244285
expectations_114,full,153,114,5,IC1,-0.21891070767130577
expectations_114,full,153,114,5,IC2,-0.17595774149205184
expectations_114,full,153,114,5,IC3,-0.331753743083976
expectations_114,full,153,114,6,IC1,-0.21638632624034854
expectations_114,full,153,114,6,IC2,-0.16484276682524385
expectations_114,full,153,114,6,IC3,-0.35179796873555286
expectations_114,full,153,114,7,IC1,-0.21381364081614723
expectations_114,full,153,114,7,IC2,-0.15367948816519172
expectations_114,full,153,114,7,IC3,-0.37179389039388566
expectations_114,full,153,114,8,IC1,-0.20837793241290858
expectations_114,full,153,114,8,IC2,-0.13965318652610237
expectations_114,full,153,114,8,IC3,-0.388926789073181
expectations_114,full,153,114,9,IC1,-0.204102692258753
expectations_114,full,153,114,9,IC2,-0.1267873531360959
expectations_114,full,153,114,9,IC3,-0.4072201560015594
expectations_114,full,153,114,10,IC1,-0.18879595103865277
expectations_114,full,153,114,10,IC2,-0.10289001868014491
expectations_114,full,153,114,10,IC3,-0.41448202186399313
expectations_114,full,153,114,11,IC1,-0.17258842867690738
expectations_114,full,153,114,11,IC2,-0.07809190308254876
expectations_114,full,153,114,11,IC3,-0.42084310658478197
expectations_114,full,153,114,12,IC1,-0.15620271021558685
expectations_114,full,153,114,12,IC2,-0.05311559138537747
expectations_114,full,153,114,12,IC3,-0.4270259952059955
expectations_114,full,153,114,13,IC1,-0.13897111474019164
expectations_114,full,153,114,13,IC2,-0.027293402674131384
expectations_114,full,153,114,13,IC3,-0.4323630068131342
expectations_114,full,153,114,14,IC1,-0.12117208847502481
expectations_114,full,153,114,14,IC2,-9.037831731137924e-4
expectations_114,full,153,114,14,IC3,-0.43713258763050167
expectations_114,full,153,114,15,IC1,-0.09982379228757876
expectations_114,full,153,114,15,IC2,0.029035106250183018
expectations_114,full,153,114,15,IC3,-0.43835289852558945
expectations_114,full,153,114,16,IC1,-0.07791725192709786
expectations_114,full,153,114,16,IC2,0.05953223984651457
expectations_114,full,153,114,16,IC3,-0.4390149652476427
expectations_114,full,153,114,17,IC1,-0.05665638465228473
expectations_114,full,153,114,17,IC2,0.08938370035717869
expectations_114,full,153,114,17,IC3,-0.44032270505536364
expectations_114,full,153,114,18,IC1,-0.035473234752634974
expectations_114,full,153,114,18,IC2,0.1191574434926792
expectations_114,full,153,114,18,IC3,-0.4417081622382478
expectations_114,full,153,114,19,IC1,-0.014932852959095744
expectations_114,full,153,114,19,IC2,0.1482884185220692
expectations_114,full,153,114,19,IC3,-0.44373638752724265
expectations_114,full,153,114,20,IC1,0.005457037731527059
expectations_114,full,153,114,20,IC2,0.17726890244854276
expectations_114,full,153,114,20,IC3,-0.4459151039191537
expectations_114,pre_covid,84,114,1,IC1,-0.06877412336959281
expectations_114,pre_covid,84,114,1,IC2,-0.057385406372375714
expectations_114,pre_covid,84,114,1,IC3,-0.09614716608988974
expectations_114,pre_covid,84,114,2,IC1,-0.10579112513468406
expectations_114,pre_covid,84,114,2,IC2,-0.08301369114024987
expectations_114,pre_covid,84,114,2,IC3,-0.16053721057527792
expectations_114,pre_covid,84,114,3,IC1,-0.11051404474662868
expectations_114,pre_covid,84,114,3,IC2,-0.07634789375497741
expectations_114,pre_covid,84,114,3,IC3,-0.19263317290751947
expectations_114,pre_covid,84,114,4,IC1,-0.10740924246943162
expectations_114,pre_covid,84,114,4,IC2,-0.061854374480563246
expectations_114,pre_covid,84,114,4,IC3,-0.21690141335061933
