ref.date,expect_focus_fiscal_dlsp_ny,expect_focus_fiscal_primary_balance_ny,expect_focus_fiscal_nominal_balance_ny,expect_focus_fiscal_dlsp_ny_reference,expect_focus_fiscal_primary_balance_ny_reference,expect_focus_fiscal_nominal_balance_ny_reference,expect_focus_fiscal_dlsp_ny_difference,expect_focus_fiscal_primary_balance_ny_difference,expect_focus_fiscal_nominal_balance_ny_difference
2020-02-01,57.82,-0.5,-5,57.82,-0.5,-5,0,0,0
2020-03-01,58.72,-0.79,-5.4,58.72,-0.79,-5.4,0,0,0
2020-04-01,64.98,-1.9,-5.7,64.98,-1.9,-5.7,0,0,0
2020-05-01,65.2,-2.06,-6,65.2,-2.06,-6,0,0,0
2020-06-01,68.06,-2.3,-6.5,68.06,-2.3,-6.5,0,0,0
2020-07-01,69.83,-2.84,-6.5,69.83,-2.84,-6.5,0,0,0
2020-08-01,69.65,-2.5,-6.2,69.65,-2.5,-6.2,0,0,0
2020-09-01,70,-2.8,-6.5,70,-2.8,-6.5,0,0,0
2020-10-01,70,-3,-6.75,70,-3,-6.75,0,0,0
2020-11-01,68.44,-2.9,-6.8,68.44,-2.9,-6.8,0,0,0
2020-12-01,66.3,-3,-7,66.3,-3,-7,0,0,0
2021-01-01,65.8,-2.08,-6.4,65.8,-2.08,-6.4,0,0,0
2021-02-01,65.65,-2,-6.6,65.65,-2,-6.6,0,0,0
2021-03-01,66.2,-2.15,-6.8,66.2,-2.15,-6.8,0,0,0
2021-04-01,66.3,-2,-6.6,66.3,-2,-6.6,0,0,0
2021-05-01,65.5,-2,-6.6,65.5,-2,-6.6,0,0,0
2021-06-01,63.6,-1.7,-6.3,63.6,-1.7,-6.3,0,0,0
2021-07-01,63.3,-1.5,-6.0978,63.3,-1.5,-6.0978,0,0,0
2021-08-01,63.073,-1.1,-6.185,63.073,-1.1,-6.185,0,0,0
2021-09-01,62.973,-1,-6.4,62.973,-1,-6.4,0,0,0
2021-10-01,63,-1.2,-6.5,63,-1.2,-6.5,0,0,0
2021-11-01,63.2,-1.2,-6.7,63.2,-1.2,-6.7,0,0,0
2021-12-01,63,-1.05,-7.4,63,-1.05,-7.4,0,0,0
2022-01-01,66.2123,-0.6,-7.3,66.2123,-0.6,-7.3,0,0,0
2022-02-01,63.925,-0.5,-7.15,63.925,-0.5,-7.15,0,0,0
2022-03-01,63.525,-0.5,-7.15,63.525,-0.5,-7.15,0,0,0
2022-04-01,64.0736,-0.45,-7.3,64.0736,-0.45,-7.3,0,0,0
2022-05-01,63.95,-0.35,-7.35,63.95,-0.35,-7.35,0,0,0
2022-06-01,62,-0.1,-7.6,62,-0.1,-7.6,0,0,0
2022-07-01,63.8,-0.3,-7.7,63.8,-0.3,-7.7,0,0,0
2022-08-01,63.5,-0.5,-7.7,63.5,-0.5,-7.7,0,0,0
2022-09-01,63.2321,-0.5,-7.7,63.2321,-0.5,-7.7,0,0,0
2022-10-01,63,-0.5,-7.7,63,-0.5,-7.7,0,0,0
2022-11-01,61.4967,-0.8,-8.3912,61.4967,-0.8,-8.3912,0,0,0
2022-12-01,61.95,-1.2,-8.6,61.95,-1.2,-8.6,0,0,0
2023-01-01,64.39,-1,-7.1,64.39,-1,-7.1,0,0,0
2023-02-01,64,-0.775,-7.35,64,-0.775,-7.35,0,0,0
2023-03-01,64.5,-0.8,-7.1,64.5,-0.8,-7.1,0,0,0
2023-04-01,64,-0.8,-7,64,-0.8,-7,0,0,0
2023-05-01,64.45,-0.7,-7,64.45,-0.7,-7,0,0,0
2023-06-01,64,-0.8001,-7,64,-0.8001,-7,0,0,0
2023-07-01,63.95,-0.8,-6.9,63.95,-0.8,-6.9,0,0,0
2023-08-01,63.95,-0.71,-6.8,63.95,-0.71,-6.8,0,0,0
2023-09-01,63.9,-0.75,-6.57,63.9,-0.75,-6.57,0,0,0
2023-10-01,63.8,-0.8,-6.81,63.8,-0.8,-6.81,0,0,0
2023-11-01,63.89,-0.8,-6.8,63.89,-0.8,-6.8,0,0,0
2023-12-01,64.45,-0.8,-6.8,64.45,-0.8,-6.8,0,0,0
2024-01-01,66,-0.6,-6.335,66,-0.6,-6.335,0,0,0
2024-02-01,66.5,-0.6,-6.3,66.5,-0.6,-6.3,0,0,0
2024-03-01,66.415,-0.6,-6.285,66.415,-0.6,-6.285,0,0,0
2024-04-01,66.4008,-0.675,-6.2588,66.4008,-0.675,-6.2588,0,0,0
2024-05-01,66.5,-0.6,-6.3,66.5,-0.6,-6.3,0,0,0
2024-06-01,66.4,-0.637,-6.5,66.4,-0.637,-6.5,0,0,0
2024-07-01,66,-0.67,-6.5,66,-0.67,-6.5,0,0,0
2024-08-01,66.45,-0.755,-6.79,66.45,-0.755,-6.79,0,0,0
2024-09-01,66.5,-0.73,-7.3,66.5,-0.73,-7.3,0,0,0
2024-10-01,66.64,-0.7,-7.2,66.64,-0.7,-7.2,0,0,0
2024-11-01,67,-0.7,-8.0865,67,-0.7,-8.0865,0,0,0
2024-12-01,66.95,-0.6,-8.38,66.95,-0.6,-8.38,0,0,0
2025-01-01,70.8,-0.6001,-8.33,70.8,-0.6001,-8.33,0,0,0
2025-02-01,70.331,-0.6,-8.5,70.331,-0.6,-8.5,0,0,0
2025-03-01,70.01,-0.7,-8.5,70.01,-0.7,-8.5,0,0,0
2025-04-01,70.35,-0.67,-8.535,70.35,-0.67,-8.535,0,0,0
2025-05-01,70.125,-0.66,-8.5,70.125,-0.66,-8.5,0,0,0
2025-06-01,70.003,-0.66,-8.5,70.003,-0.66,-8.5,0,0,0
2025-07-01,70.2,-0.62,-8.5,70.2,-0.62,-8.5,0,0,0
2025-08-01,70.05,-0.6,-8.4,70.05,-0.6,-8.4,0,0,0
2025-09-01,70.0825,-0.6,-8.45,70.0825,-0.6,-8.45,0,0,0
