panel,variable,h,point
baseline_111,cambio_inr,34,-5.536687506378845e-4
baseline_111,cambio_inr,35,-4.829777652545947e-4
baseline_111,cambio_inr,36,-4.1326310764543004e-4
baseline_111,cambio_inr,37,-3.4505686411121325e-4
baseline_111,cambio_inr,38,-2.7883528428364487e-4
baseline_111,cambio_inr,39,-2.1502400947828894e-4
baseline_111,cambio_inr,40,-1.5399719188903622e-4
baseline_111,cambio_inr,41,-9.607544888047328e-5
baseline_111,cambio_inr,42,-4.152800028454936e-5
baseline_111,cambio_inr,43,9.425609713863774e-6
baseline_111,cambio_inr,44,5.66143790733455e-5
baseline_111,cambio_inr,45,9.991357281535357e-5
baseline_111,cambio_inr,46,1.3924202702504613e-4
baseline_111,cambio_inr,47,1.7455958914839095e-4
baseline_111,cambio_inr,48,2.0586431849389905e-4
baseline_111,cambio_usd,0,0.15385505120831833
baseline_111,cambio_usd,1,0.16310072804933617
baseline_111,cambio_usd,2,0.13194898839500258
baseline_111,cambio_usd,3,0.13763004744550292
baseline_111,cambio_usd,4,0.1265521149429126
baseline_111,cambio_usd,5,0.09235065681310324
baseline_111,cambio_usd,6,0.07625946770078883
baseline_111,cambio_usd,7,0.05842612242633994
baseline_111,cambio_usd,8,0.031900773375332946
baseline_111,cambio_usd,9,0.01166815591747475
baseline_111,cambio_usd,10,-0.005985599792726855
baseline_111,cambio_usd,11,-0.024601960743082713
baseline_111,cambio_usd,12,-0.03972559888860237
baseline_111,cambio_usd,13,-0.052247091919894365
baseline_111,cambio_usd,14,-0.06354360298729732
baseline_111,cambio_usd,15,-0.07269513775338311
baseline_111,cambio_usd,16,-0.07990690686853183
baseline_111,cambio_usd,17,-0.08571608308404459
baseline_111,cambio_usd,18,-0.090080490733415
baseline_111,cambio_usd,19,-0.09308781181095764
baseline_111,cambio_usd,20,-0.0949655819537851
baseline_111,cambio_usd,21,-0.0958271815886579
baseline_111,cambio_usd,22,-0.09574595753668277
baseline_111,cambio_usd,23,-0.09482868487126309
baseline_111,cambio_usd,24,-0.09317888890086129
baseline_111,cambio_usd,25,-0.09086573977458186
baseline_111,cambio_usd,26,-0.08795884309961295
baseline_111,cambio_usd,27,-0.08453847999292087
baseline_111,cambio_usd,28,-0.08067093931075542
baseline_111,cambio_usd,29,-0.07641744881614104
baseline_111,cambio_usd,30,-0.07184457976201496
baseline_111,cambio_usd,31,-0.06701402032881855
baseline_111,cambio_usd,32,-0.061982957986518726
baseline_111,cambio_usd,33,-0.05680882203112719
baseline_111,cambio_usd,34,-0.05154602560357203
baseline_111,cambio_usd,35,-0.04624498725436509
baseline_111,cambio_usd,36,-0.040953624578522134
baseline_111,cambio_usd,37,-0.03571648568753217
baseline_111,cambio_usd,38,-0.03057411722245814
baseline_111,cambio_usd,39,-0.025563421200786456
baseline_111,cambio_usd,40,-0.020717507430153215
baseline_111,cambio_usd,41,-0.0160654855584658
baseline_111,cambio_usd,42,-0.01163258453113383
baseline_111,cambio_usd,43,-0.007440234972729189
baseline_111,cambio_usd,44,-0.0035061124618585705
baseline_111,cambio_usd,45,1.5572506976401382e-4
baseline_111,cambio_usd,46,0.0035346646443164425
baseline_111,cambio_usd,47,0.006623373488523188
baseline_111,cambio_usd,48,0.009417611284939831
baseline_111,juros_selic,0,0.24080967160794522
baseline_111,juros_selic,1,0.2862776120282397
baseline_111,juros_selic,2,0.38351265704253196
baseline_111,juros_selic,3,0.45668362981943866
baseline_111,juros_selic,4,0.4966357046132467
baseline_111,juros_selic,5,0.5425228071650612
baseline_111,juros_selic,6,0.576624781333618
baseline_111,juros_selic,7,0.5846442936288864
baseline_111,juros_selic,8,0.5908987044299703
baseline_111,juros_selic,9,0.5866172982364537
baseline_111,juros_selic,10,0.5686959650655036
baseline_111,juros_selic,11,0.5468422616351196
baseline_111,juros_selic,12,0.5183500577108417
baseline_111,juros_selic,13,0.4831255858911368
baseline_111,juros_selic,14,0.4443932993735238
baseline_111,juros_selic,15,0.4020294503560117
baseline_111,juros_selic,16,0.35652943711924445
baseline_111,juros_selic,17,0.30922113172536003
baseline_111,juros_selic,18,0.26056563228195356
baseline_111,juros_selic,19,0.21112576203803232
baseline_111,juros_selic,20,0.1616018910299332
baseline_111,juros_selic,21,0.11246753588464119
baseline_111,juros_selic,22,0.06419218931549406
baseline_111,juros_selic,23,0.017213520913707894
baseline_111,juros_selic,24,-0.028101656712050917
baseline_111,juros_selic,25,-0.07141934877282538
baseline_111,juros_selic,26,-0.11246066365923449
baseline_111,juros_selic,27,-0.15098882640268316
baseline_111,juros_selic,28,-0.18680446447904195
baseline_111,juros_selic,29,-0.2197564405912821
baseline_111,juros_selic,30,-0.24972986155373178
baseline_111,juros_selic,31,-0.27664417729480695
baseline_111,juros_selic,32,-0.3004567481515374
baseline_111,juros_selic,33,-0.3211559697129602
baseline_111,juros_selic,34,-0.3387588129116817
baseline_111,juros_selic,35,-0.35331056853213766
baseline_111,juros_selic,36,-0.3648807422870911
baseline_111,juros_selic,37,-0.3735603670346486
baseline_111,juros_selic,38,-0.37946018877394716
baseline_111,juros_selic,39,-0.3827077142668921
baseline_111,juros_selic,40,-0.3834446624335185
baseline_111,juros_selic,41,-0.3818247723264099
baseline_111,juros_selic,42,-0.37801139873962913
baseline_111,juros_selic,43,-0.3721752715195326
baseline_111,juros_selic,44,-0.36449244322782276
baseline_111,juros_selic,45,-0.35514229924050356
baseline_111,juros_selic,46,-0.34430570198966043
baseline_111,juros_selic,47,-0.3321632831210933
baseline_111,juros_selic,48,-0.318893868367825
baseline_111,yield_3m,0,0.0038861315035359054
baseline_111,yield_3m,1,0.004697686435338788
baseline_111,yield_3m,2,0.005756454046813674
baseline_111,yield_3m,3,0.006679308037585802
baseline_111,yield_3m,4,0.007122805860897233
baseline_111,yield_3m,5,0.007476630620097355
baseline_111,yield_3m,6,0.007736966905354449
baseline_111,yield_3m,7,0.007697000553576932
baseline_111,yield_3m,8,0.007573176965285078
baseline_111,yield_3m,9,0.0073394181618132905
baseline_111,yield_3m,10,0.006965525262705376
baseline_111,yield_3m,11,0.006538053100063661
baseline_111,yield_3m,12,0.006046650608816864
baseline_111,yield_3m,13,0.005494170539591018
baseline_111,yield_3m,14,0.004910676796592702
baseline_111,yield_3m,15,0.004297907496937608
baseline_111,yield_3m,16,0.003663119511141278
baseline_111,yield_3m,17,0.0030194009486952116
baseline_111,yield_3m,18,0.002371718550572901
baseline_111,yield_3m,19,0.0017266365667815678
baseline_111,yield_3m,20,0.0010913357794083815
baseline_111,yield_3m,21,4.7055021507867647e-4
baseline_111,yield_3m,22,-1.3066532818476763e-4
baseline_111,yield_3m,23,-7.07743800066212e-4
baseline_111,yield_3m,24,-0.0012570472862733783
baseline_111,yield_3m,25,-0.0017751641728392207
baseline_111,yield_3m,26,-0.002259292774204088
baseline_111,yield_3m,27,-0.0027072122490751165
baseline_111,yield_3m,28,-0.0031171037269249312
baseline_111,yield_3m,29,-0.0034876834789833245
baseline_111,yield_3m,30,-0.0038181338309641656
baseline_111,yield_3m,31,-0.004108039884599619
baseline_111,yield_3m,32,-0.004357415175692426
baseline_111,yield_3m,33,-0.004566646413540608
baseline_111,yield_3m,34,-0.004736452788995655
baseline_111,yield_3m,35,-0.004867870307489445
baseline_111,yield_3m,36,-0.004962208405494807
baseline_111,yield_3m,37,-0.005021014347480381
baseline_111,yield_3m,38,-0.005046045111847465
baseline_111,yield_3m,39,-0.00503923175977108
baseline_111,yield_3m,40,-0.005002647625267441
baseline_111,yield_3m,41,-0.00493847954471547
baseline_111,yield_3m,42,-0.004848998340274488
baseline_111,yield_3m,43,-0.004736531760079785
baseline_111,yield_3m,44,-0.004603439477472667
baseline_111,yield_3m,45,-0.004452089375582841
baseline_111,yield_3m,46,-0.00428483591422604
baseline_111,yield_3m,47,-0.004104000390170179
baseline_111,yield_3m,48,-0.003911852989661889
baseline_111,yield_6m,0,0.005
baseline_111,yield_6m,1,0.006106291484822624
baseline_111,yield_6m,2,0.007131819726487489
baseline_111,yield_6m,3,0.008215131114005793
baseline_111,yield_6m,4,0.008676323309549615
baseline_111,yield_6m,5,0.008900104790380841
baseline_111,yield_6m,6,0.009067284580169267
baseline_111,yield_6m,7,0.008915967995547544
baseline_111,yield_6m,8,0.008619809267568185
baseline_111,yield_6m,9,0.00821714459465224
baseline_111,yield_6m,10,0.007681540836704695
baseline_111,yield_6m,11,0.007082454222257943
baseline_111,yield_6m,12,0.006425628144666768
baseline_111,yield_6m,13,0.005718535440086314
baseline_111,yield_6m,14,0.004987284689523274
baseline_111,yield_6m,15,0.004235552937459796
baseline_111,yield_6m,16,0.003472755585871563
baseline_111,yield_6m,17,0.0027110492882495125
baseline_111,yield_6m,18,0.0019550003762546036
baseline_111,yield_6m,19,0.0012116983440297764
baseline_111,yield_6m,20,4.8803579125737136e-4
baseline_111,yield_6m,21,-2.1174913678825247e-4
baseline_111,yield_6m,22,-8.826276736229104e-4
baseline_111,yield_6m,23,-0.0015201779038827073
baseline_111,yield_6m,24,-0.002121120177125247
baseline_111,yield_6m,25,-0.002682246003724553
