ref.date,dlsp_exchange_adjustment,dlsp_fx_internal_indexed,dlsp_fx_external_methodological,sublines_sum,rounding_difference,dlsp_exchange_adjustment_adjusted
2018-07-01,30757.01249703,339.74660373000006,30417.2658933,30757.01249703,0,30757.01249703
2018-08-01,-116240.51405260999,-1073.6011087000002,-115166.91294390999,-116240.51405260999,0,-116240.51405260999
2018-09-01,40190.26725448,324.5077879600001,39865.75946652,40190.26725448,0,40190.26725448
2018-10-01,87492.75197681997,719.4392252499997,86773.31275156997,87492.75197681997,0,87492.75197681997
2018-11-01,-44550.49064495,-553.3305786200001,-43997.16006633,-44550.49064495,0,-44550.49064495
2018-12-01,-3499.9535051300004,25.672772969999983,-3525.6262781000005,-3499.9535051300004,0,-3499.9535051300004
2019-01-01,69120.35149038001,2829.7599713700006,66290.59151901,69120.35149038001,0,69120.35149038001
2019-02-01,-26942.485472559994,-1064.71718823,-25877.768284329995,-26942.485472559994,0,-26942.485472559994
2019-03-01,-49380.46785591,-1634.7528278599998,-47745.71502805,-49380.46785591,0,-49380.46785591
2019-04-01,-15210.388971239998,-406.03361961,-14804.355351629998,-15210.388971239998,0,-15210.388971239998
2019-05-01,1491.53974789,-31.983937509999997,1523.5236854,1491.53974789,0,1491.53974789
2019-06-01,34141.591949969996,809.80465889,33331.78729107999,34141.591949969996,0,34141.591949969996
2019-07-01,21151.957174469997,374.13526251999997,20777.821911949995,21151.957174469997,0,21151.957174469997
2019-08-01,-113192.25560046999,1710.3455352699998,-114902.60113573998,-113192.25560046999,0,-113192.25560046999
2019-09-01,-7508.70936281,14.47449794000002,-7523.18386075,-7508.70936281,0,-7508.70936281
2019-10-01,46627.606950810004,-371.30716492,46998.914115730004,46627.606950810004,0,46627.606950810004
2019-11-01,-62820.04775744001,516.73325905,-63336.78101649001,-62820.04775744001,0,-62820.04775744001
2019-12-01,53727.957942789995,-479.86756279999986,54207.82550558999,53727.957942789995,0,53727.957942789995
