var,h,winner,runnerup
asset_ifix,18,-0.44584309760975227,-40.5298010114884
asset_ifix,19,0.053106661449536914,-42.647162100368206
asset_ifix,20,0.5487682338099273,-44.85588280837227
asset_ifix,21,0.9710365962831747,-47.22624825532346
asset_ifix,22,1.3466402337837406,-49.748903288368744
asset_ifix,23,1.715104165416629,-52.34209481468761
asset_ifix,24,2.049426722508609,-55.02951868096502
asset_ifix,25,2.35088394535572,-57.778369388086006
asset_ifix,26,2.6248327331369956,-60.564659768721675
asset_ifix,27,2.8577968986800255,-63.39981052520379
asset_ifix,28,3.064486136900821,-66.25793056593197
asset_ifix,29,3.256624429353482,-69.1192367458495
asset_ifix,30,3.423020882529225,-71.98231525230602
asset_ifix,31,3.5704893901829258,-74.8296807478944
asset_ifix,32,3.7027201343556344,-77.64505707941854
asset_ifix,33,3.814848948253969,-80.42527344371595
asset_ifix,34,3.9136112026195367,-83.15475570873537
asset_ifix,35,3.998761602822498,-85.8221842689922
asset_ifix,36,4.065394586773298,-88.4287587292565
asset_ifix,37,4.115052446564168,-90.96601407683316
asset_ifix,38,4.14728964755517,-93.42995541231541
asset_ifix,39,4.160474793370301,-95.82075500163913
asset_ifix,40,4.1561787815381255,-98.13305003719893
asset_ifix,41,4.134233649305593,-100.36457355926854
asset_ifix,42,4.093403335784399,-102.51439324035401
asset_ifix,43,4.034816761547746,-104.57911653659944
asset_ifix,44,3.958600514317307,-106.55649714610806
asset_ifix,45,3.8644405617162225,-108.44503412689221
asset_ifix,46,3.753256183751271,-110.24219179830833
asset_ifix,47,3.6252043473047295,-111.94632608754283
asset_ifix,48,3.4806543431858477,-113.55641705710468
asset_ifnc,0,-13.354057661010934,-12.671855352455474
asset_ifnc,1,-16.375538991205058,-21.974723049328666
asset_ifnc,2,-14.891040807852448,-14.098024292112864
asset_ifnc,3,-14.935380797542152,-13.146221045342024
asset_ifnc,4,-14.3687303353528,-11.322141140664668
asset_ifnc,5,-15.417983397580329,-3.035515035910445
asset_ifnc,6,-16.515062506741856,-0.6116455550946047
asset_ifnc,7,-17.041956146161954,4.175176756427117
asset_ifnc,8,-15.728634473234177,10.070776174021399
asset_ifnc,9,-15.57840217031345,15.988794299884745
asset_ifnc,10,-16.385080831721975,21.34681586167503
asset_ifnc,11,-16.43794453874846,26.512881261887205
