var,sig90_proxy,sig90_gmr,sig68_proxy,sig68_gmr,sign_agree_all,sign_agree_h0_12,sign_agree_sig90,cor_path,coverage90,band_ratio90,group,tier
trab_employment_south,1,0,9,0,0.4489795918367347,0.7692307692307693,1,0.41031600497314696,1,5.458941598368856,fora_do_ruler,NA
trab_employment_northeast,3,0,14,0,0.46938775510204084,0.6153846153846154,0.6666666666666666,0.033327290099166254,1,5.782881404465075,fora_do_ruler,NA
trab_employment_north,3,0,14,0,0.4897959183673469,0.8461538461538461,1,0.46589357754590394,1,6.067777065304133,fora_do_ruler,NA
trab_employment_central_west,1,0,14,0,0.6326530612244898,0.7692307692307693,1,0.47537782582261673,1,5.496373288537702,fora_do_ruler,NA
trab_min_wage,0,0,4,0,0.6326530612244898,0.7692307692307693,NA,0.7476435873943515,1,4.970465678646269,fora_do_ruler,NA
trab_pop_forca_trab,0,0,1,0,0.24489795918367346,0,NA,-0.5715960430228133,1,5.4682939449038335,fora_do_ruler,NA
trab_pop_ocupada,0,0,12,0,0.2857142857142857,0.23076923076923078,NA,-0.4543734938357811,1,5.815814723905017,trabalho,scored
trab_tx_desemprego,0,0,19,0,0.3469387755102041,0.6923076923076923,NA,-0.0018575802773471413,1,6.1774439872595375,trabalho,scored
trab_hrs_trabalhadas_industria,1,0,13,0,0.7346938775510204,0.9230769230769231,1,-0.037325097056256404,1,5.53494962243935,trabalho,scored
trab_menos_de_1_mes,0,0,10,0,0.5306122448979592,0,NA,0.15592453239227938,1,5.497142917002757,fora_do_ruler,NA
trab_de_1_mes_a_menos_de_1_ano,0,0,1,0,0.12244897959183673,0,NA,-0.5428176229817546,1,5.668916294684056,fora_do_ruler,NA
trab_de_1_ano_a_menos_de_2_anos,0,0,8,0,0.46938775510204084,0.9230769230769231,NA,0.6511967656669297,1,5.0395677397377465,fora_do_ruler,NA
trab_x2_anos_ou_mais,0,0,19,0,0.24489795918367346,0.23076923076923078,NA,0.48734115831694796,1,6.136229380628564,fora_do_ruler,NA
price_ipca,1,0,3,0,0.46938775510204084,0.6923076923076923,1,0.5686084052566927,1,4.928141090765836,precos,scored
price_ipca_difusao,0,0,1,0,0.5306122448979592,0.6923076923076923,NA,0.5661501550963068,1,4.755749798552713,precos,scored
price_core_ipca_ex0,6,0,9,0,0.8571428571428571,0.7692307692307693,1,0.6284806752963092,1,4.716419152876271,precos,scored
price_core_ipca_ex1,0,0,3,0,0.5714285714285714,0.6153846153846154,NA,0.4694614900399578,1,5.252574468954728,precos,scored
price_core_ipca_dw,3,0,6,0,0.5102040816326531,0.7692307692307693,1,0.7738907761638488,1,5.094741292487291,precos,scored
price_igp_m,4,0,8,0,0.40816326530612246,0.7692307692307693,1,0.5504761655103549,1,5.178578389850059,precos_ambiguos,ambiguous
price_ipc,0,0,3,0,0.46938775510204084,0.46153846153846156,NA,0.2160911831551607,1,5.141429917488605,fora_do_ruler,NA
price_core_ipc,0,0,12,0,0.4897959183673469,0.6153846153846154,NA,0.5084136552434281,1,5.484606059819552,fora_do_ruler,NA
price_incc,0,0,0,0,0.6326530612244898,0.46153846153846156,NA,0.37878821728482304,1,4.434275003242167,fora_do_ruler,NA
price_inpc,0,0,2,0,0.5102040816326531,0.5384615384615384,NA,0.35056093631037705,1,4.969216878265474,precos,scored
price_ipp,5,0,15,0,0.42857142857142855,1,1,0.4829014435401243,1,5.827628083247269,precos_ambiguos,ambiguous
commodity_agro,5,0,15,0,0.6326530612244898,0.8461538461538461,1,0.8352418468075526,1,5.243928940643125,fora_do_ruler,NA
commodity_metal,5,0,12,0,0.40816326530612246,0.7692307692307693,1,0.5161762296027144,1,5.597493200947856,commodity_domestica,ambiguous
commodity_energia,5,0,8,2,0.5510204081632653,0.8461538461538461,1,0.8649962528992494,1,4.673141229152795,fora_do_ruler,NA
asset_ibov,0,0,14,0,0.6122448979591837,0.38461538461538464,NA,0.545858620974405,1,6.097436100037032,acoes,scored
asset_idiv,0,0,2,0,0.20408163265306123,0.38461538461538464,NA,0.6371135782174148,1,6.113141085589023,acoes,scored
asset_ifix,0,0,9,0,0.3877551020408163,1,NA,-0.864806256459203,1,5.424923083026352,acoes,scored
asset_ifnc,0,0,20,0,0.061224489795918366,0.23076923076923078,NA,0.5849004179589485,1,6.137519538429547,acoes_ambiguas,ambiguous
asset_imat,0,0,0,0,0.46938775510204084,0.9230769230769231,NA,-0.38662704806952697,1,4.807712162942743,acoes_ambiguas,ambiguous
asset_imob,0,0,2,0,0.2857142857142857,0.6153846153846154,NA,0.8213631784177985,1,5.798736193098041,acoes,scored
asset_mlcx,0,0,6,0,0.6122448979591837,0.38461538461538464,NA,0.4600030465067297,1,5.976881658084871,acoes,scored
asset_smll,0,0,3,0,0.3673469387755102,0.7692307692307693,NA,0.18729201054941935,1,5.73248829390248,acoes,scored
embi_perc,2,0,20,0,0.6938775510204082,0.7692307692307693,1,0.7939983246911576,1,5.74797647637414,risco_cambio_soft,soft
cds_5y,5,0,21,0,0.7142857142857143,0.8461538461538461,1,0.8468005569334435,1,5.77332914713476,risco_cambio_soft,soft
msci,0,0,0,0,0.4489795918367347,0.3076923076923077,NA,-0.04626450916140111,1,4.710207450843442,placebo_externas,placebo
sp500_vix,1,0,3,0,0.32653061224489793,0.8461538461538461,1,0.5076910590483603,1,5.2147240186762875,placebo_externas,placebo
epu_brazil,0,0,1,0,0.673469387755102,0.9230769230769231,NA,0.9244219026852168,1,4.826032916358535,fora_do_ruler,NA
epu_canada,1,0,3,0,0.3469387755102041,0.15384615384615385,1,0.6961627991352357,1,5.5061009417871345,fora_do_ruler,NA
epu_chile,0,0,0,0,0.46938775510204084,0.8461538461538461,NA,0.8883967924720233,1,4.933846926612967,fora_do_ruler,NA
epu_china,0,0,0,0,0.5306122448979592,0.6923076923076923,NA,0.6341399698271893,1,4.7051802426167315,fora_do_ruler,NA
epu_germany,0,0,0,0,0.3673469387755102,0.6923076923076923,NA,0.8853304408711152,1,5.5753084948098905,fora_do_ruler,NA
epu_india,0,0,0,0,0.7142857142857143,0.46153846153846156,NA,0.5907326317251654,1,4.56552771037563,fora_do_ruler,NA
epu_russia,0,0,6,0,0.2653061224489796,0.5384615384615384,NA,0.5357571399720362,1,5.27920107454203,fora_do_ruler,NA
epu_us,0,0,2,0,0.3469387755102041,0.5384615384615384,NA,0.8696910070944954,1,5.14006618196554,placebo_externas,placebo
