ident,var,h,point,lo68,hi68,lo90,hi90
GMR nao-gaussiano,yield_6m,35,0.0010302125284832589,-0.012507226445624577,0.01367695913897526,-0.04521463775786325,0.0492923108887824
GMR nao-gaussiano,yield_6m,36,7.34132382890837e-4,-0.01238717942016761,0.013076307243624862,-0.04626467084995025,0.052750294106860204
GMR nao-gaussiano,yield_6m,37,4.370329790527222e-4,-0.011741902728387758,0.014409432935825884,-0.047011273610354544,0.05432143602203271
GMR nao-gaussiano,yield_6m,38,1.5103005820954615e-4,-0.011742936370879564,0.014397493499978565,-0.047080085074519266,0.05560228619854804
GMR nao-gaussiano,yield_6m,39,-1.2597249205051903e-4,-0.011415643615813102,0.013917873267522893,-0.04705207328420527,0.05661861214976248
GMR nao-gaussiano,yield_6m,40,-3.933429459566883e-4,-0.01101014891048612,0.013102342312593164,-0.047216104546026434,0.05739068962354196
GMR nao-gaussiano,yield_6m,41,-6.444366470154395e-4,-0.010738966651161213,0.013105000621449162,-0.0468646286154794,0.060224453627799865
GMR nao-gaussiano,yield_6m,42,-8.801613866916914e-4,-0.01018598108177013,0.012717081454928033,-0.0460939416703419,0.07167420544659278
GMR nao-gaussiano,yield_6m,43,-0.0010987097342593346,-0.010329741134902459,0.013801281361239362,-0.045956640270620214,0.07891989118688364
GMR nao-gaussiano,yield_6m,44,-0.0012973929411428306,-0.010711651829485587,0.01468866997351335,-0.0440581634041349,0.06938015822884891
GMR nao-gaussiano,yield_6m,45,-0.0014763162277119301,-0.011001773703144311,0.014143180207660741,-0.04246454324685173,0.06633325787156917
GMR nao-gaussiano,yield_6m,46,-0.001634592328328013,-0.01129009066256395,0.01274521926712134,-0.04072452815738731,0.06819184372563414
GMR nao-gaussiano,yield_6m,47,-0.0017707880819814621,-0.01110409724541711,0.01246951512912212,-0.03902794362272475,0.0704959572868805
GMR nao-gaussiano,yield_6m,48,-0.001885265460225747,-0.01087174376958385,0.011540950157146498,-0.03722032526840262,0.07715722025306469
GMR nao-gaussiano,yield_2y,0,0.010853718200522871,0.004632989316208801,0.013756095972345355,-0.004885235445772308,0.0200361065156319
GMR nao-gaussiano,yield_2y,1,0.011979393978658394,0.002946107389013868,0.015474702586263177,-0.017307490476234037,0.03510258449849527
GMR nao-gaussiano,yield_2y,2,0.00933839462678103,0.002459913259662391,0.014063632568767966,-0.010315027181208762,0.02900577338893591
GMR nao-gaussiano,yield_2y,3,0.009580257929461506,0.001089051365352251,0.013206376039106174,-0.01352842730476397,0.03244769226740882
