sample,instrument,exercise,key,n_used,wald_mp
full,z_jk_raw,loo,2017-03,146,6.51960268679092
full,z_jk_raw,loo,2017-04,146,6.438744895494868
full,z_jk_raw,loo,2017-05,146,6.496960881965594
full,z_jk_raw,loo,2017-06,146,6.658413529558266
full,z_jk_raw,loo,2017-07,146,6.12505523466842
full,z_jk_raw,loo,2017-08,146,6.488629719133648
full,z_jk_raw,loo,2017-09,146,6.563357476633804
full,z_jk_raw,loo,2017-10,146,6.496852625171176
full,z_jk_raw,loo,2017-11,146,6.481473624511381
full,z_jk_raw,loo,2017-12,146,6.523189487876748
full,z_jk_raw,loo,2018-01,146,6.495199989786923
full,z_jk_raw,loo,2018-02,146,6.5173404999537805
full,z_jk_raw,loo,2018-03,146,6.503021736181239
full,z_jk_raw,loo,2018-04,146,6.385027259605427
full,z_jk_raw,loo,2018-05,146,5.771074479805871
full,z_jk_raw,loo,2018-06,146,6.680223252232959
full,z_jk_raw,loo,2018-07,146,6.52554179152698
full,z_jk_raw,loo,2018-08,146,6.385358358520202
full,z_jk_raw,loo,2018-09,146,6.634979700543398
full,z_jk_raw,loo,2018-10,146,7.115493021437325
full,z_jk_raw,loo,2018-11,146,6.210297655237774
full,z_jk_raw,loo,2018-12,146,6.494672188409156
full,z_jk_raw,loo,2019-01,146,6.528541905654529
full,z_jk_raw,loo,2019-02,146,6.466567372586231
full,z_jk_raw,loo,2019-03,146,6.424842286106643
full,z_jk_raw,loo,2019-04,146,6.500817393852392
full,z_jk_raw,loo,2019-05,146,6.4503008717296195
full,z_jk_raw,loo,2019-06,146,6.431161878987114
full,z_jk_raw,loo,2019-07,146,6.559248779591982
full,z_jk_raw,loo,2019-08,146,6.678367754931383
full,z_jk_raw,loo,2019-09,146,6.444462890669338
full,z_jk_raw,loo,2019-10,146,6.710962663689111
full,z_jk_raw,loo,2019-11,146,6.668682494700252
full,z_jk_raw,loo,2019-12,146,6.6357897120940965
full,z_jk_raw,loo,2020-01,146,6.493899704277802
full,z_jk_raw,loo,2020-02,146,6.472680051036586
full,z_jk_raw,loo,2020-03,146,6.415885575833983
full,z_jk_raw,loo,2020-04,146,6.264810852595784
full,z_jk_raw,loo,2020-05,146,5.856331376509736
full,z_jk_raw,loo,2020-06,146,6.573437451182046
full,z_jk_raw,loo,2020-07,146,6.488414949500359
full,z_jk_raw,loo,2020-08,146,6.505480515325799
full,z_jk_raw,loo,2020-09,146,6.476625629935774
full,z_jk_raw,loo,2020-10,146,7.053851258248445
full,z_jk_raw,loo,2020-11,146,6.501043036651775
full,z_jk_raw,loo,2020-12,146,5.831925742361209
full,z_jk_raw,loo,2021-01,146,6.4909912968074
full,z_jk_raw,loo,2021-02,146,6.507635678248294
full,z_jk_raw,loo,2021-03,146,5.302345270386223
full,z_jk_raw,loo,2021-04,146,5.713518081172267
full,z_jk_raw,loo,2021-05,146,6.506432545332426
full,z_jk_raw,loo,2021-06,146,6.844273060320283
full,z_jk_raw,loo,2021-07,146,7.117123308164896
full,z_jk_raw,loo,2021-08,146,6.489497112907372
full,z_jk_raw,loo,2021-09,146,6.910731475953199
full,z_jk_raw,loo,2021-10,146,5.688698697126778
full,z_jk_raw,loo,2021-11,146,6.403441464278786
full,z_jk_raw,loo,2021-12,146,6.680995819602668
full,z_jk_raw,loo,2022-01,146,6.497213726951833
full,z_jk_raw,loo,2022-02,146,6.468260643566523
full,z_jk_raw,loo,2022-03,146,6.74395209226378
full,z_jk_raw,loo,2022-04,146,6.479370308260405
full,z_jk_raw,loo,2022-05,146,6.318674674203558
full,z_jk_raw,loo,2022-06,146,6.569849953751414
full,z_jk_raw,loo,2022-07,146,6.4593712345118135
full,z_jk_raw,loo,2022-08,146,6.476915627299265
full,z_jk_raw,loo,2022-09,146,5.965715540412416
full,z_jk_raw,loo,2022-10,146,6.415831117844629
full,z_jk_raw,loo,2022-11,146,6.512456594955874
full,z_jk_raw,loo,2022-12,146,6.556387245041909
full,z_jk_raw,loo,2023-01,146,6.510173915962584
full,z_jk_raw,loo,2023-02,146,6.458678222437496
full,z_jk_raw,loo,2023-03,146,6.747219731307101
full,z_jk_raw,loo,2023-04,146,6.4703417337979525
full,z_jk_raw,loo,2023-05,146,6.2746967110474
full,z_jk_raw,loo,2023-06,146,6.877019049179463
full,z_jk_raw,loo,2023-07,146,6.524720272511211
full,z_jk_raw,loo,2023-08,146,6.537330608730251
full,z_jk_raw,loo,2023-09,146,6.4855551894017065
full,z_jk_raw,loo,2023-10,146,6.501965051736212
full,z_jk_raw,loo,2023-11,146,6.569764600343572
full,z_jk_raw,loo,2023-12,146,6.47855036005812
full,z_jk_raw,loo,2024-01,146,6.498904169065759
full,z_jk_raw,loo,2024-02,146,6.488737503637593
full,z_jk_raw,loo,2024-03,146,6.495517224984969
full,z_jk_raw,loo,2024-04,146,6.639846161132673
full,z_jk_raw,loo,2024-05,146,6.483014002295463
full,z_jk_raw,loo,2024-06,146,6.669256335122632
full,z_jk_raw,loo,2024-07,146,6.5864473105675945
full,z_jk_raw,loo,2024-08,146,6.518194937995957
full,z_jk_raw,loo,2024-09,146,6.043973285197804
full,z_jk_raw,loo,2024-10,146,6.461513107788758
full,z_jk_raw,loo,2024-11,146,6.217660839914106
full,z_jk_raw,loo,2024-12,146,5.10867675951018
full,z_jk_raw,loo,2025-01,146,6.188404545762664
full,z_jk_raw,loo,2025-02,146,6.493606559227995
full,z_jk_raw,loo,2025-03,146,6.776396537600159
full,z_jk_raw,loo,2025-04,146,6.5421995747462995
full,z_jk_raw,loo,2025-05,146,6.406029818553006
full,z_jk_raw,loo,2025-06,146,6.510167407067196
full,z_jk_raw,loo,2025-07,146,6.579741454620941
full,z_jk_raw,loo,2025-08,146,6.543747338370158
full,z_jk_raw,loo,2025-09,146,6.493330408105914
full,z_jk_raw,hac,0,147,6.494306764560546
full,z_jk_raw,hac,1,147,6.331706363482328
full,z_jk_raw,hac,2,147,6.573698899116381
full,z_jk_raw,hac,3,147,6.993516078482322
full,z_jk_raw,hac,4,147,7.473093223211369
