sample,target_bd,agg,instrument,nw_lags,n_obs,n_nonzero,wald_mp,wald_mp_nw0,f_robust_mp,f_robust_mp_nw0,impact_mp,ar_bounded
full,105,gk,z_jk_raw,1,147,92,0.01284076850906085,0.016482078089849774,0.00875513727633929,0.01126463264473081,2.3747910933340646e-6,FALSE
full,105,gk,z_jk_raw_purif,1,147,92,0.0014078748039172244,0.001799491608249401,9.777145842017438e-4,0.001250628659107032,8.018393453767158e-7,FALSE
full,105,gk,z_jk_purif,1,147,105,0.37779717184604744,0.4661772416975259,0.3195900839254744,0.3827937438777464,-1.344636226136097e-5,FALSE
full,105,gk,z_bruto,1,147,147,0.06545029672755999,0.08506459325431454,0.0483423886254588,0.06239795487673974,-4.218462040792022e-6,FALSE
full,126,sum,z_jk_bs_purif,0,147,62,7.647789722807889,7.647789722807889,7.954660744137472,7.954660744137472,5.329710784620143e-5,TRUE
full,126,sum,z_jk_raw,0,147,55,7.693702499756682,7.693702499756682,8.21070624618341,8.21070624618341,4.9813404596562266e-5,TRUE
full,126,sum,z_jk_raw_purif,0,147,55,7.648649659810714,7.648649659810714,8.268669913892916,8.268669913892916,5.111609439034425e-5,TRUE
full,126,sum,z_jk_purif,0,147,65,5.312345222197153,5.312345222197153,5.424717287761205,5.424717287761205,4.390921388787132e-5,TRUE
full,126,sum,z_bruto,0,147,92,6.480888326977471,6.480888326977471,5.0710215714977736,5.0710215714977736,3.237449171227091e-5,TRUE
full,126,gk,z_jk_bs_purif,1,147,101,0.10810263027240667,0.13384143817575686,0.07415274017901953,0.0926739464665333,7.521203320504088e-6,FALSE
full,126,gk,z_jk_raw,1,147,93,0.40398819794681234,0.4839574137301249,0.2734463549490221,0.33379653683351684,1.334581332038577e-5,FALSE
full,126,gk,z_jk_raw_purif,1,147,93,0.3310051686486072,0.3951799736103692,0.22480530122747522,0.27247761609946114,1.2321879787855996e-5,FALSE
full,126,gk,z_jk_purif,1,147,110,0.043386149074994045,0.04914969210893346,0.0310380176633226,0.03493343090264614,-4.334434994930593e-6,FALSE
full,126,gk,z_bruto,1,147,145,0.024344627246701885,0.029920981385705054,0.01681191452097052,0.02074064772568495,2.339528440423541e-6,FALSE
full,147,sum,z_jk_bs_purif,0,147,60,6.786401003734834,6.786401003734834,7.113603094184943,7.113603094184943,4.4700340664271114e-5,TRUE
full,147,sum,z_jk_raw,0,147,59,7.073431181305537,7.073431181305537,7.745580254927977,7.745580254927977,4.195064262388643e-5,TRUE
full,147,sum,z_jk_raw_purif,0,147,59,7.024643040785072,7.024643040785072,7.8443797468620025,7.8443797468620025,4.317877295301196e-5,TRUE
full,147,sum,z_jk_purif,0,147,63,6.558339747413024,6.558339747413024,7.94085512460813,7.94085512460813,4.3953379047072495e-5,TRUE
full,147,sum,z_bruto,0,147,94,8.12943841211557,8.12943841211557,7.134365795479131,7.134365795479131,3.39432966456043e-5,TRUE
full,147,gk,z_jk_bs_purif,1,147,98,0.007423897614291164,0.009211326789110614,0.005176324106868264,0.00644390896295956,1.7712162391154106e-6,FALSE
full,147,gk,z_jk_raw,1,147,98,0.2337434079262495,0.27783441748439514,0.1605935310310986,0.19452038005818093,8.773437285893133e-6,FALSE
full,147,gk,z_jk_raw_purif,1,147,98,0.2110098637326508,0.24884643114604266,0.14565948707252346,0.1748139497605467,8.476742905337255e-6,FALSE
full,147,gk,z_jk_purif,1,147,103,0.001888395833887,0.002160621021313842,0.0013267489556079374,0.001515328143462215,-8.110660124821438e-7,FALSE
full,147,gk,z_bruto,1,147,147,0.10584435779115596,0.1304281671022039,0.07224776862716199,0.08985689823924488,4.512664868294401e-6,FALSE
full,168,sum,z_jk_bs_purif,0,147,63,5.4475627260429995,5.4475627260429995,11.877553702549946,11.877553702549946,4.603090856064519e-5,TRUE
full,168,sum,z_jk_raw,0,147,58,5.881933178009444,5.881933178009444,13.9309200850206,13.9309200850206,4.281731121431117e-5,TRUE
full,168,sum,z_jk_raw_purif,0,147,58,5.810609077924806,5.810609077924806,13.730122377322443,13.730122377322443,4.376681444024353e-5,TRUE
full,168,sum,z_jk_purif,0,147,63,4.148458861204567,4.148458861204567,6.481085923029683,6.481085923029683,3.613492904128887e-5,TRUE
full,168,sum,z_bruto,0,147,92,4.831862637207604,4.831862637207604,6.0219717019650405,6.0219717019650405,3.0354502865753525e-5,TRUE
full,168,gk,z_jk_bs_purif,1,147,103,0.0209971205720063,0.025124426838761947,0.014120150665827206,0.016971595741524414,2.4340417301815584e-6,FALSE
full,168,gk,z_jk_raw,1,147,99,0.13371545444660968,0.15689212341377978,0.08503514696662838,0.10096848245092666,5.512229281012955e-6,FALSE
full,168,gk,z_jk_raw_purif,1,147,99,0.1129950061194147,0.1312093956591009,0.0725431074089784,0.085090714232729,5.161913493800966e-6,FALSE
full,168,gk,z_jk_purif,1,147,105,0.08145598662029753,0.09255487838020872,0.06219714963237932,0.06967234950207259,-4.313838744997476e-6,FALSE
full,168,gk,z_bruto,1,147,145,3.3383752144767553e-4,4.0292307358735297e-4,2.3490039510033257e-4,2.8334440661420947e-4,-2.29391309163759e-7,FALSE
full,189,sum,z_jk_bs_purif,0,147,63,5.2229496233175,5.2229496233175,11.951109518116741,11.951109518116741,4.594166705704123e-5,TRUE
full,189,sum,z_jk_raw,0,147,59,5.347366707716764,5.347366707716764,12.345492854183101,12.345492854183101,4.207661763515357e-5,TRUE
full,189,sum,z_jk_raw_purif,0,147,59,5.299840775729201,5.299840775729201,12.581504646502495,12.581504646502495,4.3631201993811695e-5,TRUE
full,189,sum,z_jk_purif,0,147,66,4.185778891068496,4.185778891068496,8.046300833335518,8.046300833335518,3.893371928085565e-5,TRUE
full,189,sum,z_bruto,0,147,94,5.231841149906027,5.231841149906027,7.209471944363516,7.209471944363516,3.24887912553372e-5,TRUE
full,189,gk,z_jk_bs_purif,1,147,105,0.00492447407938184,0.0060394243585979975,0.0033712999964189178,0.004135774154121159,1.1305771149534614e-6,FALSE
full,189,gk,z_jk_raw,1,147,100,0.06315761167875404,0.07792500960079955,0.040850357150032796,0.05055217106602956,3.795056501663413e-6,FALSE
full,189,gk,z_jk_raw_purif,1,147,100,0.044715258309984206,0.05423197630800509,0.029333926707608027,0.03564701266711382,3.282509881504852e-6,FALSE
full,189,gk,z_jk_purif,1,147,110,0.14622825515023927,0.1726121164718783,0.11760815414245235,0.13724409606335217,-5.873732520687847e-6,FALSE
full,189,gk,z_bruto,1,147,147,1.5879310421492405e-4,1.9540370591648274e-4,1.1093047289720144e-4,1.3653543977310424e-4,1.5454773557183767e-7,FALSE
full,210,sum,z_jk_bs_purif,0,147,61,4.807704829895878,4.807704829895878,10.399765652639333,10.399765652639333,4.0236438135219795e-5,TRUE
full,210,sum,z_jk_raw,0,147,56,5.198671498585446,5.198671498585446,11.767973686049272,11.767973686049272,3.779405419904789e-5,TRUE
full,210,sum,z_jk_raw_purif,0,147,56,5.184181393281697,5.184181393281697,11.635417369914235,11.635417369914235,3.844619920082313e-5,TRUE
full,210,sum,z_jk_purif,0,147,62,2.5293033357368273,2.5293033357368273,2.591820274374096,2.591820274374096,2.6426508118989153e-5,FALSE
full,210,sum,z_bruto,0,147,93,3.097332414995972,3.097332414995972,2.880102374051003,2.880102374051003,2.3019541787087895e-5,FALSE
full,210,gk,z_jk_bs_purif,1,147,99,0.017065097856226737,0.02115454736483717,0.011428078581857673,0.014193431665005852,1.9450137268278883e-6,FALSE
full,210,gk,z_jk_raw,1,147,95,0.14784340170261281,0.17895637183064825,0.09140854269026483,0.1114435569236862,5.195877138636155e-6,FALSE
full,210,gk,z_jk_raw_purif,1,147,95,0.10554143793406856,0.12622867725051204,0.06664998437642411,0.08018093179336318,4.4480082645096605e-6,FALSE
full,210,gk,z_jk_purif,1,147,103,0.39609963543693555,0.4604734038866779,0.35502050646519856,0.39823523029179175,-8.485942854648625e-6,FALSE
full,210,gk,z_bruto,1,147,146,0.05913805557168138,0.0723652466394933,0.044066072931822055,0.05352016267841708,-2.737401382325172e-6,FALSE
full,252,sum,z_jk_bs_purif,0,147,60,5.82648489380584,5.82648489380584,10.896139127564398,10.896139127564398,3.999771269382661e-5,TRUE
full,252,sum,z_jk_raw,0,147,56,5.72005804572235,5.72005804572235,10.66778224377868,10.66778224377868,3.614923170851464e-5,TRUE
full,252,sum,z_jk_raw_purif,0,147,56,5.858172135997739,5.858172135997739,11.254203090842946,11.254203090842946,3.7976864967962805e-5,TRUE
full,252,sum,z_jk_purif,0,147,63,4.706660215551258,4.706660215551258,7.918289466751204,7.918289466751204,3.4611464013902434e-05,TRUE
full,252,sum,z_bruto,0,147,94,6.210805759863438,6.210805759863438,8.20627449219519,8.20627449219519,2.938160911421513e-5,TRUE
full,252,gk,z_jk_bs_purif,1,147,102,0.04867135203387105,0.05911999639729072,0.032322446696096976,0.03940183026500999,3.1052293008673756e-6,FALSE
full,252,gk,z_jk_raw,1,147,97,0.17236093038047479,0.20944154584440136,0.10936934408338049,0.13411254552192017,5.49544911412234e-6,FALSE
full,252,gk,z_jk_raw_purif,1,147,97,0.1616221300168401,0.19437630978891968,0.10317707002472981,0.1250365419426685,5.493678726421129e-6,FALSE
full,252,gk,z_jk_purif,1,147,105,0.027181448957424647,0.0317383956914816,0.019925974186447037,0.023126838753772472,-2.2603975191096425e-6,FALSE
full,252,gk,z_bruto,1,147,147,0.09274273872146244,0.1131763621173541,0.06140266664493571,0.07546846782318341,3.2781378873518574e-6,FALSE
