teste,proxy,conjunto,x,n,coef,se_hc1,t,p_asym,p_boot,r2,amostra,instrumento,meses_nao_nulos,xi_mp,wald_conjunta,f_factor,impacto_mp_pre,ar_limitada,bandas_validas,denom_vs_prod,cor_t,cor_tm1,cor_tp1,n_copom,n_valid,sd,pct_zero,r2_risco,variavel,h,ponto,lo68,hi68,lo90,hi90,sig68,sig90
xi_mp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pre_covid,z_jk_bs_norisk_mask,30,10.940965148652188,16.145099835063615,5.637024102018316,6.208570717828972e-5,TRUE,TRUE,1.189183109911782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alinhamento,CDS 5a,r_brl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.30249460159439945,0.06631181299818174,0.2575564274284168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alinhamento,CDS 5a,r_sp500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5412166731755452,-0.03994903929464791,0.06586376963121404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alinhamento,CDS 5a,d_vix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44299639006993535,-0.007147303151599126,-0.10996003462055796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alinhamento,CDS 5a,r_ibov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5796882824561448,-0.0886259851119916,0.034035891698924896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alinhamento,EMBI+,r_brl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22544706691377045,0.08223203553640611,0.21026090592111743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alinhamento,EMBI+,r_sp500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.49769967940667964,-0.045106919743072516,0.05985846260535563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alinhamento,EMBI+,d_vix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41315789681457105,-0.0072031243116929735,-0.10927146081079508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alinhamento,EMBI+,r_ibov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5081188469585801,-0.08816282868891626,0.016227353322108583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
qualidade,d_cds_bp,"CDS 5a (bp, Qua->Qui)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,598,7.318661648236263,0.5016722408026756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
