reuniao,quinta,delta_di,e_di_bs,r_ibov,e_ibov_bs,d_embi_bp,d_lbrl,d_slope_bp,e_brl_bs,e_embi_bs,jk_monetary_bs,jk3_class,jk3_embi,share_month,share_sample,nota_evento
2021-08-04,2021-08-05,13.999999999999984,13.166467036469736,-0.13826329677737448,-0.17987586399623184,-4.0000000000000036,1.4788934116868768,25.899999999999945,1.5016003887153566,-3.62878760449087,TRUE,soberano,politica,1,0.02341073717206554,NA
2022-05-04,2022-05-05,14.500000000000068,12.96042425473976,-2.845574116506633,-3.2923854944191224,-2.0000000000000018,2.1957693105939757,36.89999999999999,2.376283786281004,-1.4679598348222522,TRUE,soberano,politica,1,0.0230443812319397,NA
2021-06-16,2021-06-17,12.50000000000001,12.543700239847626,-0.9344739009922165,-0.9027169707977428,-2.0000000000000018,-0.9322507293785254,20.699999999999985,-0.8891814644504176,-1.732583519462305,TRUE,politica,politica,1,0.022303421917728446,NA
2024-09-18,2024-09-19,12.50000000000001,11.95381744973174,-0.46840806358297016,-0.1644046509048466,2.0000000000000018,-0.681677950259707,18.999999999999993,-0.6573473204351912,1.7967098347496635,TRUE,politica,soberano,1,0.021254576322059043,NA
2025-01-29,2025-01-30,-14.000000000000124,-11.754046403816217,2.7808709533896803,2.727622676703915,-4.999999999999982,0.010242830821249882,-40.000000000000036,0.29614761259192973,-3.9307983707442617,TRUE,politica,soberano,1,0.02089937188965035,NA
2025-03-19,2025-03-20,12.50000000000001,11.522453091372451,-0.41862194393846863,-0.6856349528104423,-2.9999999999999805,-0.4240243790291087,22.5000000000003,-0.34908471728580875,-3.317197849917944,TRUE,politica,politica,1,0.02048758563344272,NA
2016-11-30,2016-12-01,12.499999999999734,11.281860013971592,-3.953653676565061,-3.89640157195466,10.000000000000009,-1.3848385299961352,29.49999999999995,-1.4124593869366147,9.39617781756916,TRUE,politica,soberano,1,0.020059797276486477,NA
2020-08-05,2020-08-06,-9.500000000000028,-10.885611237551688,1.2795773429624901,1.415605666769636,0,0.7606662676769682,-11.099999999999998,0.706643698093508,-0.5631932890795818,TRUE,politica,soberano,1,0.01935524411626331,NA
2023-03-22,2023-03-23,12.50000000000001,10.633220511977052,-2.3158492282183474,-2.563628472458967,1.000000000000023,-0.09162628733270228,0.9999999999997566,-0.10789853977463243,1.4684363553683317,TRUE,politica,soberano,1,0.01890647886095766,NA
2013-08-28,2013-08-29,12.999999999999956,10.612751536156027,0.11015265351854708,-0.12574386636967597,4.0000000000000036,0.5789021765391533,25,0.5783374222874105,3.47571871364771,TRUE,soberano,soberano,1,0.018870083842324335,NA
2017-05-31,2017-06-01,9.499999999999925,10.153282284157076,-0.6767226366884316,-0.6970048301742158,0,0.7383308938349931,16.000000000000043,0.560360966750241,0.15634367179886782,TRUE,soberano,soberano,1,0.018053121033136527,NA
2016-04-27,2016-04-28,12.50000000000001,9.990524241053665,-0.304845159873679,-0.4464551968246432,3.999999999999959,-1.194095801053363,6.500000000000128,-1.0803714466807148,3.48286680834827,TRUE,politica,soberano,1,0.017763727852780735,NA
2022-09-21,2022-09-22,-9.500000000000064,-9.67685656789957,1.8890474292783566,1.9836677927144157,-6.000000000000005,-1.0674941443232555,-24.50000000000021,-1.1839991970272523,-5.29390330760195,TRUE,soberano,soberano,1,0.0172060086532989,NA
2022-03-16,2022-03-17,-7.999999999999952,-9.347346721534903,1.7520505824061061,1.5260273038333039,-12.99999999999999,-1.74517075502032,-32.29999999999983,-1.3969654402091054,-13.12589097661779,TRUE,soberano,soberano,1,0.016620121156866962,NA
2019-10-30,2019-10-31,8.99999999999998,9.30722935224879,-1.101643090908233,-1.01414916055142,4.0000000000000036,-0.26306129579627413,13.000000000000025,-0.2219325051952139,4.2323695894416336,TRUE,politica,soberano,1,0.016548790162319187,NA
2014-02-26,2014-02-27,-6.000000000000033,-8.42900769868851,2.1390969708239282,1.81131146007863,-2.9999999999999805,0.39259656658241493,1.3322676295501878e-13,0.30239772207513055,-3.0088959673687765,TRUE,politica,soberano,1,0.014987261450526724,NA
2016-08-31,2016-09-01,-8.999999999999842,-8.15706645445767,0.5771802122092495,0.7027299834765439,7.000000000000028,0.8396142382387728,-18.50000000000005,0.7269469418604199,6.71224118369863,TRUE,politica,politica,1,0.014503734246357331,NA
2016-06-08,2016-06-09,8.999999999999842,6.6418937199375145,-0.9943462682363347,-1.3620698275562164,2.0000000000000018,1.1372152726955465,9.799999999999942,1.1238078778475176,1.5561906709479458,TRUE,soberano,soberano,1,0.011809669805237372,NA
2024-06-19,2024-06-20,-5.499999999999949,-6.4498502800473965,0.153356441214747,0.3078536408758249,NA,0.5517395326222418,-4.999999999999993,0.4052888195797849,NA,TRUE,politica,nao classificado,1,0.011468205501682455,NA
2018-09-19,2018-09-20,-4.5000000000000595,-6.246668067878309,-0.06736425091773413,0.11038899308190456,-16.000000000000014,-1.3233886687916252,10.000000000000009,-1.2669529591172475,-16.326455804817716,TRUE,soberano,soberano,1,0.011106935819090006,NA
2020-10-28,2020-10-29,-5.000000000000004,-6.209524120863767,1.26429835601094,1.563574474227306,-2.0000000000000018,0.6934470250057334,11.499999999999977,0.5791234004039495,-4.036479762058124,TRUE,politica,soberano,1,0.011040891740698895,NA
2024-07-31,2024-08-01,-5.499999999999949,-5.868100009291255,-0.20130421238153673,0.10757600684914105,4.999999999999982,1.6481168310323868,0.49999999999994493,1.5296639348968735,4.753788707254199,TRUE,politica,politica,1,0.01043381999411036,NA
2019-07-31,2019-08-01,-6.000000000000033,-5.858292941278073,0.3077505319879492,0.31665347332422716,8.999999999999986,0.6693698924238767,4.800000000000012,0.6676358289531902,8.697970696188237,TRUE,politica,politica,1,0.010416382462003286,NA
2021-12-08,2021-12-09,10.000000000000009,5.7916857257286445,-1.6832499515212263,-1.9460091980301566,3.000000000000025,-1.4394453885893999,5.000000000000004,-1.3836725079158156,3.213386449052603,TRUE,politica,soberano,1,0.01029795099419407,NA
2015-09-02,2015-09-03,-5.000000000000004,-5.757945668738006,1.9224968831634826,2.012105735907128,1.000000000000023,-0.504752267601849,-3.100000000000047,-0.5990189949871552,-0.3265947932703426,TRUE,soberano,soberano,1,0.010237959228431053,NA
2020-06-17,2020-06-18,-5.000000000000004,-5.605728638876105,0.6030616401721645,0.355553486579778,5.999999999999961,2.815814294558261,10.500000000000043,2.942164818325898,12.160300726006653,TRUE,politica,politica,1,0.00996730857709544,NA
2023-06-21,2023-06-22,5.499999999999949,5.593707087799102,-1.2417392137043848,-1.3158383053703273,-4.0000000000000036,0.15603703592093066,0.5000000000000782,0.03241875532996201,-3.112339558642605,TRUE,soberano,politica,1,0.009945933566480616,NA
2022-08-03,2022-08-04,-4.000000000000115,-5.140599619641044,2.019977403508122,1.7322874672634134,-11.000000000000032,-1.3646356961250383,-32.30000000000024,-1.1793547136735312,-7.636230074529613,TRUE,soberano,soberano,1,0.00914028237559042,NA
2019-12-11,2019-12-12,-4.000000000000045,-4.632060147583633,1.107602296367638,1.2579287173907638,-14.999999999999991,-0.5055408490953983,6.000000000000039,-0.49756452888517666,-14.981416426245955,TRUE,soberano,soberano,1,0.008236069887230359,NA
2015-03-04,2015-03-05,5.999999999999894,4.283340366729309,-0.2040002393426832,-0.27085239497197106,2.0000000000000018,1.4747761357912559,15.500000000000236,1.2921853365409999,1.819094257866734,TRUE,soberano,soberano,1,0.007616026020210601,NA
2023-05-03,2023-05-04,-3.499999999999892,-4.029792752762017,0.3699051677566345,0.08760701649047734,0,-0.23654039368481428,-7.799999999999896,-0.2802203476935658,1.3068747703204728,TRUE,soberano,politica,1,0.007165203750671533,NA
2024-05-08,2024-05-09,3.999999999999976,3.7830489274165435,-1.0032713970707263,-0.8345102408378023,3.0000000000000027,1.0343505684653476,0.7000000000000062,0.9889820738976519,3.053253185396189,TRUE,soberano,soberano,1,0.0067264790094032235,NA
2014-09-03,2014-09-04,3.000000000000086,3.399903305196183,-1.6912419754893548,-1.444542726838132,2.0000000000000018,0.23696365175542855,10.999999999999893,0.21368384608993474,1.3480753823805818,TRUE,soberano,soberano,1,0.006045224012479357,NA
2019-02-06,2019-02-07,2.500000000000002,3.133051291464253,-0.2433016188417625,-0.2964401543585322,6.000000000000005,0.7171045144007904,12.400000000000055,0.7482515765694453,7.55531289570793,TRUE,soberano,soberano,1,0.005570745753428502,NA
2017-10-25,2017-10-26,3.500000000000031,3.1328391780045486,-1.015664229814739,-0.70586745504947,6.000000000000005,1.6969582747210055,26.999999999999947,1.68724828303807,4.573539965133685,TRUE,soberano,soberano,1,0.005570368603473085,NA
2013-07-10,2013-07-11,1.0000000000000286,-2.975413485879002,2.48158179229101,2.213986764580056,2.0000000000000018,-0.813729647959549,13.499999999999911,-1.0228445780608806,1.300707166598064,TRUE,soberano,politica,1,0.005290456650458403,NA
2021-09-22,2021-09-23,1.0000000000000286,-2.683902719031768,1.5746792828746692,1.3368735037391126,-2.0000000000000018,0.2681827855468999,18.99999999999986,0.2989744883790243,-1.3540899677492255,TRUE,politica,soberano,1,0.004772133707288852,NA
