sample,r,q,instrument,n_obs,f_robust_mp,wald_mp,ar_bounded
full,7,6,z_jk_bs_purif,162,9.91109910389831,7.145365517452243,TRUE
full,7,7,z_bruto,162,7.944433736716268,6.434247277087828,TRUE
full,7,7,z_bs_purif,162,6.221219372127525,5.556950769709742,TRUE
full,7,7,z_jk_bs_purif,162,10.710231714849897,7.468071853266321,TRUE
full,8,2,z_bruto,162,3.9272537447095766,3.9789351482292363,TRUE
full,8,2,z_bs_purif,162,3.107097787914001,3.3130197527941196,FALSE
full,8,2,z_jk_bs_purif,162,6.433499097922445,5.749173433380073,TRUE
full,8,3,z_bruto,162,6.894584330280592,5.9536699540092615,TRUE
full,8,3,z_bs_purif,162,5.390507190559571,5.106198890955785,TRUE
full,8,3,z_jk_bs_purif,162,10.5571468742368,7.356990166955665,TRUE
full,8,4,z_bruto,162,7.545208241253891,6.366556351708152,TRUE
full,8,4,z_bs_purif,162,5.898533229212656,5.480861282495546,TRUE
full,8,4,z_jk_bs_purif,162,11.49373960415785,7.775616115618311,TRUE
full,8,5,z_bruto,162,7.512036602110221,6.346454562082367,TRUE
full,8,5,z_bs_purif,162,5.877943180024703,5.466602619150131,TRUE
full,8,5,z_jk_bs_purif,162,11.396483187491434,7.762442519091042,TRUE
full,8,6,z_bruto,162,7.353838856790173,6.200751384808121,TRUE
full,8,6,z_bs_purif,162,5.880518530719539,5.443562682383328,TRUE
full,8,6,z_jk_bs_purif,162,11.251974698727635,7.728174418457336,TRUE
full,8,7,z_bruto,162,7.357135799313207,6.19618593840889,TRUE
full,8,7,z_bs_purif,162,5.879726988420198,5.438011416532589,TRUE
full,8,7,z_jk_bs_purif,162,11.25760874618201,7.729333941507592,TRUE
full,8,8,z_bruto,162,8.454629498084302,6.770064031646086,TRUE
full,8,8,z_bs_purif,162,6.8546905164031715,6.040185794304853,TRUE
full,8,8,z_jk_bs_purif,162,12.235339909926108,8.083123317068294,TRUE
pre_covid,4,2,z_bruto,90,2.6820860751039093,2.915367349852832,FALSE
pre_covid,4,2,z_bs_purif,90,2.582545246168069,2.7974064436307096,FALSE
pre_covid,4,2,z_jk_bs_purif,90,6.156154174977479,4.77997410078003,TRUE
pre_covid,4,3,z_bruto,90,8.14313162390401,6.552137823846545,TRUE
pre_covid,4,3,z_bs_purif,90,7.04804757275219,6.032560599495524,TRUE
pre_covid,4,3,z_jk_bs_purif,90,11.605621612097226,8.444761680976555,TRUE
pre_covid,4,4,z_bruto,90,8.2713769142476945,6.532897156108619,TRUE
pre_covid,4,4,z_bs_purif,90,7.191291267281908,6.049779133814998,TRUE
pre_covid,4,4,z_jk_bs_purif,90,11.469406882189935,8.375146273035764,TRUE
pre_covid,5,2,z_bruto,90,2.4212210814068746,2.8655622792568103,FALSE
pre_covid,5,2,z_bs_purif,90,2.274238032418801,2.7009870431778538,FALSE
pre_covid,5,2,z_jk_bs_purif,90,6.577709049953729,4.905472336516319,TRUE
pre_covid,5,3,z_bruto,90,7.490001914214649,6.568256334799118,TRUE
pre_covid,5,3,z_bs_purif,90,6.60396987029924,6.158986559899942,TRUE
pre_covid,5,3,z_jk_bs_purif,90,14.233491370406137,8.818830157816071,TRUE
pre_covid,5,4,z_bruto,90,7.471296272191486,6.549659509277061,TRUE
pre_covid,5,4,z_bs_purif,90,6.583043760629654,6.138639750271106,TRUE
pre_covid,5,4,z_jk_bs_purif,90,14.253672483490812,8.802808188195138,TRUE
pre_covid,5,5,z_bruto,90,7.794581394836167,6.664645732604271,TRUE
pre_covid,5,5,z_bs_purif,90,6.946973872315421,6.32121609701499,TRUE
pre_covid,5,5,z_jk_bs_purif,90,13.809985106266108,8.643436347247281,TRUE
pre_covid,6,2,z_bruto,90,1.8021203662348544,2.3274517971354474,FALSE
pre_covid,6,2,z_bs_purif,90,1.7871895206439077,2.2798783729670618,FALSE
pre_covid,6,2,z_jk_bs_purif,90,6.448249718380203,5.248015193030136,TRUE
pre_covid,6,3,z_bruto,90,10.229351891571733,8.47994569307278,TRUE
pre_covid,6,3,z_bs_purif,90,9.912754112352603,8.608077351343745,TRUE
pre_covid,6,3,z_jk_bs_purif,90,15.51031875799076,9.661681488489574,TRUE
pre_covid,6,4,z_bruto,90,11.976305699217965,9.883038689823765,TRUE
pre_covid,6,4,z_bs_purif,90,11.771668968253168,10.171398707632216,TRUE
pre_covid,6,4,z_jk_bs_purif,90,15.430775669850728,10.804850869897702,TRUE
pre_covid,6,5,z_bruto,90,11.57202173900294,9.697665478734875,TRUE
pre_covid,6,5,z_bs_purif,90,11.333460103682162,9.953115395475814,TRUE
pre_covid,6,5,z_jk_bs_purif,90,15.041866744715552,10.63806974384052,TRUE
pre_covid,6,6,z_bruto,90,11.96783644460699,9.67698043510424,TRUE
pre_covid,6,6,z_bs_purif,90,12.007640095000344,10.12655343236783,TRUE
pre_covid,6,6,z_jk_bs_purif,90,13.602750889821719,10.040689803719989,TRUE
pre_covid,7,2,z_bruto,90,2.8200012167288957,3.575042714575368,FALSE
pre_covid,7,2,z_bs_purif,90,2.8212499060083096,3.5208311434026287,FALSE
pre_covid,7,2,z_jk_bs_purif,90,9.296997262144842,6.768316086257502,TRUE
pre_covid,7,3,z_bruto,90,12.602609137593465,10.709771261720178,TRUE
pre_covid,7,3,z_bs_purif,90,12.22713072361825,10.882786509592442,TRUE
pre_covid,7,3,z_jk_bs_purif,90,17.478293205026397,11.920620250793908,TRUE
pre_covid,7,4,z_bruto,90,14.491457445200234,11.859566121075904,TRUE
pre_covid,7,4,z_bs_purif,90,14.030136719074047,12.119952232412246,TRUE
pre_covid,7,4,z_jk_bs_purif,90,17.949490026728256,12.397294223673159,TRUE
pre_covid,7,5,z_bruto,90,14.509462466299553,12.174408425786527,TRUE
pre_covid,7,5,z_bs_purif,90,14.161714730400469,12.512979513309764,TRUE
pre_covid,7,5,z_jk_bs_purif,90,17.12401506083606,12.820644734640897,TRUE
pre_covid,7,6,z_bruto,90,14.526858629538085,12.16505265167712,TRUE
pre_covid,7,6,z_bs_purif,90,14.330381899051684,12.589006401206069,TRUE
pre_covid,7,6,z_jk_bs_purif,90,16.628298396590328,12.750702457909833,TRUE
pre_covid,7,7,z_bruto,90,15.373450416766705,12.236557582867395,TRUE
pre_covid,7,7,z_bs_purif,90,15.325116103149085,12.771351307211827,TRUE
